# t, t+1, t+2, t+3, t+4, t+5, t+6, t+7, t+8, t+9, t+10, t+11, t+12, t+13, t+14, t+15, t+16, t+17, t+18, t+19
75.385033,74.129517,74.338303,73.131104,73.728928,73.479713,73.555031,73.217705,74.800240,75.104240,74.025040,75.997063,76.147285,75.973427,74.551361,75.525139,74.838417,75.868042,74.783226,74.937302
74.129517,74.338303,73.131104,73.728928,73.479713,73.555031,73.217705,74.800240,75.104240,74.025040,75.997063,76.147285,75.973427,74.551361,75.525139,74.838417,75.868042,74.783226,74.937302,75.995338
74.338303,73.131104,73.728928,73.479713,73.555031,73.217705,74.800240,75.104240,74.025040,75.997063,76.147285,75.973427,74.551361,75.525139,74.838417,75.868042,74.783226,74.937302,75.995338,74.981201
73.131104,73.728928,73.479713,73.555031,73.217705,74.800240,75.104240,74.025040,75.997063,76.147285,75.973427,74.551361,75.525139,74.838417,75.868042,74.783226,74.937302,75.995338,74.981201,74.900047
73.728928,73.479713,73.555031,73.217705,74.800240,75.104240,74.025040,75.997063,76.147285,75.973427,74.551361,75.525139,74.838417,75.868042,74.783226,74.937302,75.995338,74.981201,74.900047,74.458817
73.479713,73.555031,73.217705,74.800240,75.104240,74.025040,75.997063,76.147285,75.973427,74.551361,75.525139,74.838417,75.868042,74.783226,74.937302,75.995338,74.981201,74.900047,74.458817,74.988594
73.555031,73.217705,74.800240,75.104240,74.025040,75.997063,76.147285,75.973427,74.551361,75.525139,74.838417,75.868042,74.783226,74.937302,75.995338,74.981201,74.900047,74.458817,74.988594,74.805519
73.217705,74.800240,75.104240,74.025040,75.997063,76.147285,75.973427,74.551361,75.525139,74.838417,75.868042,74.783226,74.937302,75.995338,74.981201,74.900047,74.458817,74.988594,74.805519,74.377258
74.800240,75.104240,74.025040,75.997063,76.147285,75.973427,74.551361,75.525139,74.838417,75.868042,74.783226,74.937302,75.995338,74.981201,74.900047,74.458817,74.988594,74.805519,74.377258,73.238770
75.104240,74.025040,75.997063,76.147285,75.973427,74.551361,75.525139,74.838417,75.868042,74.783226,74.937302,75.995338,74.981201,74.900047,74.458817,74.988594,74.805519,74.377258,73.238770,74.572289
74.025040,75.997063,76.147285,75.973427,74.551361,75.525139,74.838417,75.868042,74.783226,74.937302,75.995338,74.981201,74.900047,74.458817,74.988594,74.805519,74.377258,73.238770,74.572289,73.619377
75.997063,76.147285,75.973427,74.551361,75.525139,74.838417,75.868042,74.783226,74.937302,75.995338,74.981201,74.900047,74.458817,74.988594,74.805519,74.377258,73.238770,74.572289,73.619377,73.625107
76.147285,75.973427,74.551361,75.525139,74.838417,75.868042,74.783226,74.937302,75.995338,74.981201,74.900047,74.458817,74.988594,74.805519,74.377258,73.238770,74.572289,73.619377,73.625107,73.895386
75.973427,74.551361,75.525139,74.838417,75.868042,74.783226,74.937302,75.995338,74.981201,74.900047,74.458817,74.988594,74.805519,74.377258,73.238770,74.572289,73.619377,73.625107,73.895386,73.977058
74.551361,75.525139,74.838417,75.868042,74.783226,74.937302,75.995338,74.981201,74.900047,74.458817,74.988594,74.805519,74.377258,73.238770,74.572289,73.619377,73.625107,73.895386,73.977058,73.495987
75.525139,74.838417,75.868042,74.783226,74.937302,75.995338,74.981201,74.900047,74.458817,74.988594,74.805519,74.377258,73.238770,74.572289,73.619377,73.625107,73.895386,73.977058,73.495987,74.480484
74.838417,75.868042,74.783226,74.937302,75.995338,74.981201,74.900047,74.458817,74.988594,74.805519,74.377258,73.238770,74.572289,73.619377,73.625107,73.895386,73.977058,73.495987,74.480484,74.053246
75.868042,74.783226,74.937302,75.995338,74.981201,74.900047,74.458817,74.988594,74.805519,74.377258,73.238770,74.572289,73.619377,73.625107,73.895386,73.977058,73.495987,74.480484,74.053246,72.995087
74.783226,74.937302,75.995338,74.981201,74.900047,74.458817,74.988594,74.805519,74.377258,73.238770,74.572289,73.619377,73.625107,73.895386,73.977058,73.495987,74.480484,74.053246,72.995087,74.062523
74.937302,75.995338,74.981201,74.900047,74.458817,74.988594,74.805519,74.377258,73.238770,74.572289,73.619377,73.625107,73.895386,73.977058,73.495987,74.480484,74.053246,72.995087,74.062523,74.313110
75.995338,74.981201,74.900047,74.458817,74.988594,74.805519,74.377258,73.238770,74.572289,73.619377,73.625107,73.895386,73.977058,73.495987,74.480484,74.053246,72.995087,74.062523,74.313110,73.866013
74.981201,74.900047,74.458817,74.988594,74.805519,74.377258,73.238770,74.572289,73.619377,73.625107,73.895386,73.977058,73.495987,74.480484,74.053246,72.995087,74.062523,74.313110,73.866013,74.726189
74.900047,74.458817,74.988594,74.805519,74.377258,73.238770,74.572289,73.619377,73.625107,73.895386,73.977058,73.495987,74.480484,74.053246,72.995087,74.062523,74.313110,73.866013,74.726189,74.874092
74.458817,74.988594,74.805519,74.377258,73.238770,74.572289,73.619377,73.625107,73.895386,73.977058,73.495987,74.480484,74.053246,72.995087,74.062523,74.313110,73.866013,74.726189,74.874092,75.161507
74.988594,74.805519,74.377258,73.238770,74.572289,73.619377,73.625107,73.895386,73.977058,73.495987,74.480484,74.053246,72.995087,74.062523,74.313110,73.866013,74.726189,74.874092,75.161507,75.245247
74.805519,74.377258,73.238770,74.572289,73.619377,73.625107,73.895386,73.977058,73.495987,74.480484,74.053246,72.995087,74.062523,74.313110,73.866013,74.726189,74.874092,75.161507,75.245247,76.061104
74.377258,73.238770,74.572289,73.619377,73.625107,73.895386,73.977058,73.495987,74.480484,74.053246,72.995087,74.062523,74.313110,73.866013,74.726189,74.874092,75.161507,75.245247,76.061104,76.048767
73.238770,74.572289,73.619377,73.625107,73.895386,73.977058,73.495987,74.480484,74.053246,72.995087,74.062523,74.313110,73.866013,74.726189,74.874092,75.161507,75.245247,76.061104,76.048767,75.926437
74.572289,73.619377,73.625107,73.895386,73.977058,73.495987,74.480484,74.053246,72.995087,74.062523,74.313110,73.866013,74.726189,74.874092,75.161507,75.245247,76.061104,76.048767,75.926437,75.308968
73.619377,73.625107,73.895386,73.977058,73.495987,74.480484,74.053246,72.995087,74.062523,74.313110,73.866013,74.726189,74.874092,75.161507,75.245247,76.061104,76.048767,75.926437,75.308968,73.858620
73.625107,73.895386,73.977058,73.495987,74.480484,74.053246,72.995087,74.062523,74.313110,73.866013,74.726189,74.874092,75.161507,75.245247,76.061104,76.048767,75.926437,75.308968,73.858620,74.352432
73.895386,73.977058,73.495987,74.480484,74.053246,72.995087,74.062523,74.313110,73.866013,74.726189,74.874092,75.161507,75.245247,76.061104,76.048767,75.926437,75.308968,73.858620,74.352432,73.225761
73.977058,73.495987,74.480484,74.053246,72.995087,74.062523,74.313110,73.866013,74.726189,74.874092,75.161507,75.245247,76.061104,76.048767,75.926437,75.308968,73.858620,74.352432,73.225761,73.897095
73.495987,74.480484,74.053246,72.995087,74.062523,74.313110,73.866013,74.726189,74.874092,75.161507,75.245247,76.061104,76.048767,75.926437,75.308968,73.858620,74.352432,73.225761,73.897095,73.451080
74.480484,74.053246,72.995087,74.062523,74.313110,73.866013,74.726189,74.874092,75.161507,75.245247,76.061104,76.048767,75.926437,75.308968,73.858620,74.352432,73.225761,73.897095,73.451080,74.286629
74.053246,72.995087,74.062523,74.313110,73.866013,74.726189,74.874092,75.161507,75.245247,76.061104,76.048767,75.926437,75.308968,73.858620,74.352432,73.225761,73.897095,73.451080,74.286629,73.119362
72.995087,74.062523,74.313110,73.866013,74.726189,74.874092,75.161507,75.245247,76.061104,76.048767,75.926437,75.308968,73.858620,74.352432,73.225761,73.897095,73.451080,74.286629,73.119362,73.618477
74.062523,74.313110,73.866013,74.726189,74.874092,75.161507,75.245247,76.061104,76.048767,75.926437,75.308968,73.858620,74.352432,73.225761,73.897095,73.451080,74.286629,73.119362,73.618477,73.950851
74.313110,73.866013,74.726189,74.874092,75.161507,75.245247,76.061104,76.048767,75.926437,75.308968,73.858620,74.352432,73.225761,73.897095,73.451080,74.286629,73.119362,73.618477,73.950851,73.813026
73.866013,74.726189,74.874092,75.161507,75.245247,76.061104,76.048767,75.926437,75.308968,73.858620,74.352432,73.225761,73.897095,73.451080,74.286629,73.119362,73.618477,73.950851,73.813026,74.470901
74.726189,74.874092,75.161507,75.245247,76.061104,76.048767,75.926437,75.308968,73.858620,74.352432,73.225761,73.897095,73.451080,74.286629,73.119362,73.618477,73.950851,73.813026,74.470901,73.999496
74.874092,75.161507,75.245247,76.061104,76.048767,75.926437,75.308968,73.858620,74.352432,73.225761,73.897095,73.451080,74.286629,73.119362,73.618477,73.950851,73.813026,74.470901,73.999496,74.010735
75.161507,75.245247,76.061104,76.048767,75.926437,75.308968,73.858620,74.352432,73.225761,73.897095,73.451080,74.286629,73.119362,73.618477,73.950851,73.813026,74.470901,73.999496,74.010735,74.482697
75.245247,76.061104,76.048767,75.926437,75.308968,73.858620,74.352432,73.225761,73.897095,73.451080,74.286629,73.119362,73.618477,73.950851,73.813026,74.470901,73.999496,74.010735,74.482697,74.999756
76.061104,76.048767,75.926437,75.308968,73.858620,74.352432,73.225761,73.897095,73.451080,74.286629,73.119362,73.618477,73.950851,73.813026,74.470901,73.999496,74.010735,74.482697,74.999756,75.518387
76.048767,75.926437,75.308968,73.858620,74.352432,73.225761,73.897095,73.451080,74.286629,73.119362,73.618477,73.950851,73.813026,74.470901,73.999496,74.010735,74.482697,74.999756,75.518387,74.918839
75.926437,75.308968,73.858620,74.352432,73.225761,73.897095,73.451080,74.286629,73.119362,73.618477,73.950851,73.813026,74.470901,73.999496,74.010735,74.482697,74.999756,75.518387,74.918839,76.199478
75.308968,73.858620,74.352432,73.225761,73.897095,73.451080,74.286629,73.119362,73.618477,73.950851,73.813026,74.470901,73.999496,74.010735,74.482697,74.999756,75.518387,74.918839,76.199478,76.371826
73.858620,74.352432,73.225761,73.897095,73.451080,74.286629,73.119362,73.618477,73.950851,73.813026,74.470901,73.999496,74.010735,74.482697,74.999756,75.518387,74.918839,76.199478,76.371826,75.888870
74.352432,73.225761,73.897095,73.451080,74.286629,73.119362,73.618477,73.950851,73.813026,74.470901,73.999496,74.010735,74.482697,74.999756,75.518387,74.918839,76.199478,76.371826,75.888870,75.820015
73.225761,73.897095,73.451080,74.286629,73.119362,73.618477,73.950851,73.813026,74.470901,73.999496,74.010735,74.482697,74.999756,75.518387,74.918839,76.199478,76.371826,75.888870,75.820015,75.091248
73.897095,73.451080,74.286629,73.119362,73.618477,73.950851,73.813026,74.470901,73.999496,74.010735,74.482697,74.999756,75.518387,74.918839,76.199478,76.371826,75.888870,75.820015,75.091248,76.156273
73.451080,74.286629,73.119362,73.618477,73.950851,73.813026,74.470901,73.999496,74.010735,74.482697,74.999756,75.518387,74.918839,76.199478,76.371826,75.888870,75.820015,75.091248,76.156273,74.918991
74.286629,73.119362,73.618477,73.950851,73.813026,74.470901,73.999496,74.010735,74.482697,74.999756,75.518387,74.918839,76.199478,76.371826,75.888870,75.820015,75.091248,76.156273,74.918991,74.964554
73.119362,73.618477,73.950851,73.813026,74.470901,73.999496,74.010735,74.482697,74.999756,75.518387,74.918839,76.199478,76.371826,75.888870,75.820015,75.091248,76.156273,74.918991,74.964554,73.927063
73.618477,73.950851,73.813026,74.470901,73.999496,74.010735,74.482697,74.999756,75.518387,74.918839,76.199478,76.371826,75.888870,75.820015,75.091248,76.156273,74.918991,74.964554,73.927063,74.799034
73.950851,73.813026,74.470901,73.999496,74.010735,74.482697,74.999756,75.518387,74.918839,76.199478,76.371826,75.888870,75.820015,75.091248,76.156273,74.918991,74.964554,73.927063,74.799034,73.375099
73.813026,74.470901,73.999496,74.010735,74.482697,74.999756,75.518387,74.918839,76.199478,76.371826,75.888870,75.820015,75.091248,76.156273,74.918991,74.964554,73.927063,74.799034,73.375099,73.596123
74.470901,73.999496,74.010735,74.482697,74.999756,75.518387,74.918839,76.199478,76.371826,75.888870,75.820015,75.091248,76.156273,74.918991,74.964554,73.927063,74.799034,73.375099,73.596123,73.629280
73.999496,74.010735,74.482697,74.999756,75.518387,74.918839,76.199478,76.371826,75.888870,75.820015,75.091248,76.156273,74.918991,74.964554,73.927063,74.799034,73.375099,73.596123,73.629280,74.007088
74.010735,74.482697,74.999756,75.518387,74.918839,76.199478,76.371826,75.888870,75.820015,75.091248,76.156273,74.918991,74.964554,73.927063,74.799034,73.375099,73.596123,73.629280,74.007088,73.657661
74.482697,74.999756,75.518387,74.918839,76.199478,76.371826,75.888870,75.820015,75.091248,76.156273,74.918991,74.964554,73.927063,74.799034,73.375099,73.596123,73.629280,74.007088,73.657661,75.033073
74.999756,75.518387,74.918839,76.199478,76.371826,75.888870,75.820015,75.091248,76.156273,74.918991,74.964554,73.927063,74.799034,73.375099,73.596123,73.629280,74.007088,73.657661,75.033073,75.046455
75.518387,74.918839,76.199478,76.371826,75.888870,75.820015,75.091248,76.156273,74.918991,74.964554,73.927063,74.799034,73.375099,73.596123,73.629280,74.007088,73.657661,75.033073,75.046455,75.246819
74.918839,76.199478,76.371826,75.888870,75.820015,75.091248,76.156273,74.918991,74.964554,73.927063,74.799034,73.375099,73.596123,73.629280,74.007088,73.657661,75.033073,75.046455,75.246819,75.706932
76.199478,76.371826,75.888870,75.820015,75.091248,76.156273,74.918991,74.964554,73.927063,74.799034,73.375099,73.596123,73.629280,74.007088,73.657661,75.033073,75.046455,75.246819,75.706932,74.673607
76.371826,75.888870,75.820015,75.091248,76.156273,74.918991,74.964554,73.927063,74.799034,73.375099,73.596123,73.629280,74.007088,73.657661,75.033073,75.046455,75.246819,75.706932,74.673607,74.613586
75.888870,75.820015,75.091248,76.156273,74.918991,74.964554,73.927063,74.799034,73.375099,73.596123,73.629280,74.007088,73.657661,75.033073,75.046455,75.246819,75.706932,74.673607,74.613586,74.491203
75.820015,75.091248,76.156273,74.918991,74.964554,73.927063,74.799034,73.375099,73.596123,73.629280,74.007088,73.657661,75.033073,75.046455,75.246819,75.706932,74.673607,74.613586,74.491203,76.124268
75.091248,76.156273,74.918991,74.964554,73.927063,74.799034,73.375099,73.596123,73.629280,74.007088,73.657661,75.033073,75.046455,75.246819,75.706932,74.673607,74.613586,74.491203,76.124268,76.376785
76.156273,74.918991,74.964554,73.927063,74.799034,73.375099,73.596123,73.629280,74.007088,73.657661,75.033073,75.046455,75.246819,75.706932,74.673607,74.613586,74.491203,76.124268,76.376785,76.923874
74.918991,74.964554,73.927063,74.799034,73.375099,73.596123,73.629280,74.007088,73.657661,75.033073,75.046455,75.246819,75.706932,74.673607,74.613586,74.491203,76.124268,76.376785,76.923874,75.338387
74.964554,73.927063,74.799034,73.375099,73.596123,73.629280,74.007088,73.657661,75.033073,75.046455,75.246819,75.706932,74.673607,74.613586,74.491203,76.124268,76.376785,76.923874,75.338387,75.995506
73.927063,74.799034,73.375099,73.596123,73.629280,74.007088,73.657661,75.033073,75.046455,75.246819,75.706932,74.673607,74.613586,74.491203,76.124268,76.376785,76.923874,75.338387,75.995506,76.691383
74.799034,73.375099,73.596123,73.629280,74.007088,73.657661,75.033073,75.046455,75.246819,75.706932,74.673607,74.613586,74.491203,76.124268,76.376785,76.923874,75.338387,75.995506,76.691383,75.885674
73.375099,73.596123,73.629280,74.007088,73.657661,75.033073,75.046455,75.246819,75.706932,74.673607,74.613586,74.491203,76.124268,76.376785,76.923874,75.338387,75.995506,76.691383,75.885674,75.766853
73.596123,73.629280,74.007088,73.657661,75.033073,75.046455,75.246819,75.706932,74.673607,74.613586,74.491203,76.124268,76.376785,76.923874,75.338387,75.995506,76.691383,75.885674,75.766853,75.374130
73.629280,74.007088,73.657661,75.033073,75.046455,75.246819,75.706932,74.673607,74.613586,74.491203,76.124268,76.376785,76.923874,75.338387,75.995506,76.691383,75.885674,75.766853,75.374130,76.687660
74.007088,73.657661,75.033073,75.046455,75.246819,75.706932,74.673607,74.613586,74.491203,76.124268,76.376785,76.923874,75.338387,75.995506,76.691383,75.885674,75.766853,75.374130,76.687660,74.514435
73.657661,75.033073,75.046455,75.246819,75.706932,74.673607,74.613586,74.491203,76.124268,76.376785,76.923874,75.338387,75.995506,76.691383,75.885674,75.766853,75.374130,76.687660,74.514435,74.818039
75.033073,75.046455,75.246819,75.706932,74.673607,74.613586,74.491203,76.124268,76.376785,76.923874,75.338387,75.995506,76.691383,75.885674,75.766853,75.374130,76.687660,74.514435,74.818039,75.984619
75.046455,75.246819,75.706932,74.673607,74.613586,74.491203,76.124268,76.376785,76.923874,75.338387,75.995506,76.691383,75.885674,75.766853,75.374130,76.687660,74.514435,74.818039,75.984619,75.477737
75.246819,75.706932,74.673607,74.613586,74.491203,76.124268,76.376785,76.923874,75.338387,75.995506,76.691383,75.885674,75.766853,75.374130,76.687660,74.514435,74.818039,75.984619,75.477737,73.834229
