# t, t+1, t+2, t+3, t+4, t+5, t+6, t+7, t+8, t+9, t+10, t+11, t+12, t+13, t+14, t+15, t+16, t+17, t+18, t+19
18.533386,18.422331,19.442917,18.952940,18.960915,21.498838,21.470505,18.511995,18.647020,21.039511,20.028404,21.744652,21.801117,19.576761,19.971931,19.961250,21.327766,19.333199,20.291090,21.175819
18.422331,19.442917,18.952940,18.960915,21.498838,21.470505,18.511995,18.647020,21.039511,20.028404,21.744652,21.801117,19.576761,19.971931,19.961250,21.327766,19.333199,20.291090,21.175819,19.336182
19.442917,18.952940,18.960915,21.498838,21.470505,18.511995,18.647020,21.039511,20.028404,21.744652,21.801117,19.576761,19.971931,19.961250,21.327766,19.333199,20.291090,21.175819,19.336182,18.955381
18.952940,18.960915,21.498838,21.470505,18.511995,18.647020,21.039511,20.028404,21.744652,21.801117,19.576761,19.971931,19.961250,21.327766,19.333199,20.291090,21.175819,19.336182,18.955381,19.220398
18.960915,21.498838,21.470505,18.511995,18.647020,21.039511,20.028404,21.744652,21.801117,19.576761,19.971931,19.961250,21.327766,19.333199,20.291090,21.175819,19.336182,18.955381,19.220398,19.842691
21.498838,21.470505,18.511995,18.647020,21.039511,20.028404,21.744652,21.801117,19.576761,19.971931,19.961250,21.327766,19.333199,20.291090,21.175819,19.336182,18.955381,19.220398,19.842691,18.140636
21.470505,18.511995,18.647020,21.039511,20.028404,21.744652,21.801117,19.576761,19.971931,19.961250,21.327766,19.333199,20.291090,21.175819,19.336182,18.955381,19.220398,19.842691,18.140636,20.176434
18.511995,18.647020,21.039511,20.028404,21.744652,21.801117,19.576761,19.971931,19.961250,21.327766,19.333199,20.291090,21.175819,19.336182,18.955381,19.220398,19.842691,18.140636,20.176434,19.426235
18.647020,21.039511,20.028404,21.744652,21.801117,19.576761,19.971931,19.961250,21.327766,19.333199,20.291090,21.175819,19.336182,18.955381,19.220398,19.842691,18.140636,20.176434,19.426235,21.862072
21.039511,20.028404,21.744652,21.801117,19.576761,19.971931,19.961250,21.327766,19.333199,20.291090,21.175819,19.336182,18.955381,19.220398,19.842691,18.140636,20.176434,19.426235,21.862072,19.032907
20.028404,21.744652,21.801117,19.576761,19.971931,19.961250,21.327766,19.333199,20.291090,21.175819,19.336182,18.955381,19.220398,19.842691,18.140636,20.176434,19.426235,21.862072,19.032907,19.831059
21.744652,21.801117,19.576761,19.971931,19.961250,21.327766,19.333199,20.291090,21.175819,19.336182,18.955381,19.220398,19.842691,18.140636,20.176434,19.426235,21.862072,19.032907,19.831059,18.823954
21.801117,19.576761,19.971931,19.961250,21.327766,19.333199,20.291090,21.175819,19.336182,18.955381,19.220398,19.842691,18.140636,20.176434,19.426235,21.862072,19.032907,19.831059,18.823954,18.084599
19.576761,19.971931,19.961250,21.327766,19.333199,20.291090,21.175819,19.336182,18.955381,19.220398,19.842691,18.140636,20.176434,19.426235,21.862072,19.032907,19.831059,18.823954,18.084599,21.103460
19.971931,19.961250,21.327766,19.333199,20.291090,21.175819,19.336182,18.955381,19.220398,19.842691,18.140636,20.176434,19.426235,21.862072,19.032907,19.831059,18.823954,18.084599,21.103460,20.254948
19.961250,21.327766,19.333199,20.291090,21.175819,19.336182,18.955381,19.220398,19.842691,18.140636,20.176434,19.426235,21.862072,19.032907,19.831059,18.823954,18.084599,21.103460,20.254948,20.967981
21.327766,19.333199,20.291090,21.175819,19.336182,18.955381,19.220398,19.842691,18.140636,20.176434,19.426235,21.862072,19.032907,19.831059,18.823954,18.084599,21.103460,20.254948,20.967981,21.410172
19.333199,20.291090,21.175819,19.336182,18.955381,19.220398,19.842691,18.140636,20.176434,19.426235,21.862072,19.032907,19.831059,18.823954,18.084599,21.103460,20.254948,20.967981,21.410172,21.497593
20.291090,21.175819,19.336182,18.955381,19.220398,19.842691,18.140636,20.176434,19.426235,21.862072,19.032907,19.831059,18.823954,18.084599,21.103460,20.254948,20.967981,21.410172,21.497593,20.890734
21.175819,19.336182,18.955381,19.220398,19.842691,18.140636,20.176434,19.426235,21.862072,19.032907,19.831059,18.823954,18.084599,21.103460,20.254948,20.967981,21.410172,21.497593,20.890734,21.623646
19.336182,18.955381,19.220398,19.842691,18.140636,20.176434,19.426235,21.862072,19.032907,19.831059,18.823954,18.084599,21.103460,20.254948,20.967981,21.410172,21.497593,20.890734,21.623646,18.714079
18.955381,19.220398,19.842691,18.140636,20.176434,19.426235,21.862072,19.032907,19.831059,18.823954,18.084599,21.103460,20.254948,20.967981,21.410172,21.497593,20.890734,21.623646,18.714079,18.327753
19.220398,19.842691,18.140636,20.176434,19.426235,21.862072,19.032907,19.831059,18.823954,18.084599,21.103460,20.254948,20.967981,21.410172,21.497593,20.890734,21.623646,18.714079,18.327753,21.775066
19.842691,18.140636,20.176434,19.426235,21.862072,19.032907,19.831059,18.823954,18.084599,21.103460,20.254948,20.967981,21.410172,21.497593,20.890734,21.623646,18.714079,18.327753,21.775066,19.505037
18.140636,20.176434,19.426235,21.862072,19.032907,19.831059,18.823954,18.084599,21.103460,20.254948,20.967981,21.410172,21.497593,20.890734,21.623646,18.714079,18.327753,21.775066,19.505037,20.179298
20.176434,19.426235,21.862072,19.032907,19.831059,18.823954,18.084599,21.103460,20.254948,20.967981,21.410172,21.497593,20.890734,21.623646,18.714079,18.327753,21.775066,19.505037,20.179298,20.809595
19.426235,21.862072,19.032907,19.831059,18.823954,18.084599,21.103460,20.254948,20.967981,21.410172,21.497593,20.890734,21.623646,18.714079,18.327753,21.775066,19.505037,20.179298,20.809595,21.956501
21.862072,19.032907,19.831059,18.823954,18.084599,21.103460,20.254948,20.967981,21.410172,21.497593,20.890734,21.623646,18.714079,18.327753,21.775066,19.505037,20.179298,20.809595,21.956501,20.688238
19.032907,19.831059,18.823954,18.084599,21.103460,20.254948,20.967981,21.410172,21.497593,20.890734,21.623646,18.714079,18.327753,21.775066,19.505037,20.179298,20.809595,21.956501,20.688238,18.454584
19.831059,18.823954,18.084599,21.103460,20.254948,20.967981,21.410172,21.497593,20.890734,21.623646,18.714079,18.327753,21.775066,19.505037,20.179298,20.809595,21.956501,20.688238,18.454584,21.997843
18.823954,18.084599,21.103460,20.254948,20.967981,21.410172,21.497593,20.890734,21.623646,18.714079,18.327753,21.775066,19.505037,20.179298,20.809595,21.956501,20.688238,18.454584,21.997843,21.146893
18.084599,21.103460,20.254948,20.967981,21.410172,21.497593,20.890734,21.623646,18.714079,18.327753,21.775066,19.505037,20.179298,20.809595,21.956501,20.688238,18.454584,21.997843,21.146893,19.200268
21.103460,20.254948,20.967981,21.410172,21.497593,20.890734,21.623646,18.714079,18.327753,21.775066,19.505037,20.179298,20.809595,21.956501,20.688238,18.454584,21.997843,21.146893,19.200268,19.138699
