# t, t+1, t+2, t+3, t+4, t+5, t+6, t+7, t+8, t+9
17.000000,150.000000,38.000000,85.000000,81.000000,63.000000,48.000000,26.000000,60.000000,87.000000
150.000000,38.000000,85.000000,81.000000,63.000000,48.000000,26.000000,60.000000,87.000000,123.000000
38.000000,85.000000,81.000000,63.000000,48.000000,26.000000,60.000000,87.000000,123.000000,45.000000
85.000000,81.000000,63.000000,48.000000,26.000000,60.000000,87.000000,123.000000,45.000000,61.000000
81.000000,63.000000,48.000000,26.000000,60.000000,87.000000,123.000000,45.000000,61.000000,188.000000
63.000000,48.000000,26.000000,60.000000,87.000000,123.000000,45.000000,61.000000,188.000000,67.000000
48.000000,26.000000,60.000000,87.000000,123.000000,45.000000,61.000000,188.000000,67.000000,11.000000
26.000000,60.000000,87.000000,123.000000,45.000000,61.000000,188.000000,67.000000,11.000000,43.000000
60.000000,87.000000,123.000000,45.000000,61.000000,188.000000,67.000000,11.000000,43.000000,7.000000
87.000000,123.000000,45.000000,61.000000,188.000000,67.000000,11.000000,43.000000,7.000000,62.000000
123.000000,45.000000,61.000000,188.000000,67.000000,11.000000,43.000000,7.000000,62.000000,5.000000
45.000000,61.000000,188.000000,67.000000,11.000000,43.000000,7.000000,62.000000,5.000000,10.000000
61.000000,188.000000,67.000000,11.000000,43.000000,7.000000,62.000000,5.000000,10.000000,8.000000
188.000000,67.000000,11.000000,43.000000,7.000000,62.000000,5.000000,10.000000,8.000000,128.000000
67.000000,11.000000,43.000000,7.000000,62.000000,5.000000,10.000000,8.000000,128.000000,38.999992
11.000000,43.000000,7.000000,62.000000,5.000000,10.000000,8.000000,128.000000,38.999992,7.999992
43.000000,7.000000,62.000000,5.000000,10.000000,8.000000,128.000000,38.999992,7.999992,77.999992
7.000000,62.000000,5.000000,10.000000,8.000000,128.000000,38.999992,7.999992,77.999992,76.999992
62.000000,5.000000,10.000000,8.000000,128.000000,38.999992,7.999992,77.999992,76.999992,2.999992
5.000000,10.000000,8.000000,128.000000,38.999992,7.999992,77.999992,76.999992,2.999992,44.999992
10.000000,8.000000,128.000000,38.999992,7.999992,77.999992,76.999992,2.999992,44.999992,41.999992
8.000000,128.000000,38.999992,7.999992,77.999992,76.999992,2.999992,44.999992,41.999992,37.999992
128.000000,38.999992,7.999992,77.999992,76.999992,2.999992,44.999992,41.999992,37.999992,64.999992
38.999992,7.999992,77.999992,76.999992,2.999992,44.999992,41.999992,37.999992,64.999992,80.999992
8.000000,78.000000,77.000000,3.000000,45.000000,42.000000,38.000000,65.000000,81.000000,187.000000
78.000000,77.000000,3.000000,45.000000,42.000000,38.000000,65.000000,81.000000,187.000000,152.000000
77.000000,3.000000,45.000000,42.000000,38.000000,65.000000,81.000000,187.000000,152.000000,86.000000
3.000000,45.000000,42.000000,38.000000,65.000000,81.000000,187.000000,152.000000,86.000000,34.000000
45.000000,42.000000,38.000000,65.000000,81.000000,187.000000,152.000000,86.000000,34.000000,60.000000
42.000000,38.000000,65.000000,81.000000,187.000000,152.000000,86.000000,34.000000,60.000000,16.000000
38.000000,65.000000,81.000000,187.000000,152.000000,86.000000,34.000000,60.000000,16.000000,63.000000
65.000000,81.000000,187.000000,152.000000,86.000000,34.000000,60.000000,16.000000,63.000000,109.000000
81.000000,187.000000,152.000000,86.000000,34.000000,60.000000,16.000000,63.000000,109.000000,80.000000
187.000000,152.000000,86.000000,34.000000,60.000000,16.000000,63.000000,109.000000,80.000000,37.000004
152.000000,86.000000,34.000000,60.000000,16.000000,63.000000,109.000000,80.000000,37.000004,66.000008
86.000000,34.000000,60.000000,16.000000,63.000000,109.000000,80.000000,37.000004,66.000008,23.000011
34.000000,60.000000,16.000000,63.000000,109.000000,80.000000,37.000004,66.000008,23.000011,3.000011
60.000000,16.000000,63.000000,109.000000,80.000000,37.000004,66.000008,23.000011,3.000011,20.000011
16.000000,63.000000,109.000000,80.000000,37.000004,66.000008,23.000011,3.000011,20.000011,31.000011
63.000000,109.000000,80.000000,37.000004,66.000008,23.000011,3.000011,20.000011,31.000011,39.000011
109.000000,80.000000,37.000004,66.000008,23.000011,3.000011,20.000011,31.000011,39.000011,158.000015
80.000000,37.000004,66.000008,23.000011,3.000011,20.000011,31.000011,39.000011,158.000015,38.000015
37.000004,66.000008,23.000011,3.000011,20.000011,31.000011,39.000011,158.000015,38.000015,6.000015
66.000000,23.000004,3.000004,20.000004,31.000004,39.000004,158.000000,38.000000,6.000000,4.000000
23.000004,3.000004,20.000004,31.000004,39.000004,158.000000,38.000000,6.000000,4.000000,36.999996
