# t, t+1, t+2, t+3, t+4, t+5, t+6, t+7, t+8, t+9, t+10, t+11, t+12, t+13, t+14, t+15, t+16, t+17, t+18, t+19
0.127380,0.180517,0.175753,0.144706,0.139488,0.156717,0.156969,0.173802,0.195833,0.159928,0.156681,0.130604,0.120631,0.117578,0.100229,0.110860,0.100556,0.092830,0.088717,0.075171
0.180517,0.175753,0.144706,0.139488,0.156717,0.156969,0.173802,0.195833,0.159928,0.156681,0.130604,0.120631,0.117578,0.100229,0.110860,0.100556,0.092830,0.088717,0.075171,0.067193
0.175753,0.144706,0.139488,0.156717,0.156969,0.173802,0.195833,0.159928,0.156681,0.130604,0.120631,0.117578,0.100229,0.110860,0.100556,0.092830,0.088717,0.075171,0.067193,0.056988
0.144706,0.139488,0.156717,0.156969,0.173802,0.195833,0.159928,0.156681,0.130604,0.120631,0.117578,0.100229,0.110860,0.100556,0.092830,0.088717,0.075171,0.067193,0.056988,0.073964
0.139488,0.156717,0.156969,0.173802,0.195833,0.159928,0.156681,0.130604,0.120631,0.117578,0.100229,0.110860,0.100556,0.092830,0.088717,0.075171,0.067193,0.056988,0.073964,0.094049
0.156717,0.156969,0.173802,0.195833,0.159928,0.156681,0.130604,0.120631,0.117578,0.100229,0.110860,0.100556,0.092830,0.088717,0.075171,0.067193,0.056988,0.073964,0.094049,0.088442
0.156969,0.173802,0.195833,0.159928,0.156681,0.130604,0.120631,0.117578,0.100229,0.110860,0.100556,0.092830,0.088717,0.075171,0.067193,0.056988,0.073964,0.094049,0.088442,0.119948
0.173802,0.195833,0.159928,0.156681,0.130604,0.120631,0.117578,0.100229,0.110860,0.100556,0.092830,0.088717,0.075171,0.067193,0.056988,0.073964,0.094049,0.088442,0.119948,0.135165
0.195833,0.159928,0.156681,0.130604,0.120631,0.117578,0.100229,0.110860,0.100556,0.092830,0.088717,0.075171,0.067193,0.056988,0.073964,0.094049,0.088442,0.119948,0.135165,0.128560
0.159928,0.156681,0.130604,0.120631,0.117578,0.100229,0.110860,0.100556,0.092830,0.088717,0.075171,0.067193,0.056988,0.073964,0.094049,0.088442,0.119948,0.135165,0.128560,0.120032
0.156681,0.130604,0.120631,0.117578,0.100229,0.110860,0.100556,0.092830,0.088717,0.075171,0.067193,0.056988,0.073964,0.094049,0.088442,0.119948,0.135165,0.128560,0.120032,0.116625
0.130604,0.120631,0.117578,0.100229,0.110860,0.100556,0.092830,0.088717,0.075171,0.067193,0.056988,0.073964,0.094049,0.088442,0.119948,0.135165,0.128560,0.120032,0.116625,0.115021
0.120631,0.117578,0.100229,0.110860,0.100556,0.092830,0.088717,0.075171,0.067193,0.056988,0.073964,0.094049,0.088442,0.119948,0.135165,0.128560,0.120032,0.116625,0.115021,0.124337
