# t, t+1, t+2, t+3, t+4, t+5, t+6, t+7, t+8, t+9, t+10, t+11, t+12, t+13, t+14, t+15, t+16, t+17, t+18, t+19
0.243714,0.397671,0.569863,0.615672,0.565135,0.649624,0.684602,0.649530,0.761554,0.547738,0.414906,0.345750,0.290038,0.291690,0.251922,0.253541,0.232801,0.217426,0.235866,0.195312
0.397671,0.569863,0.615672,0.565135,0.649624,0.684602,0.649530,0.761554,0.547738,0.414906,0.345750,0.290038,0.291690,0.251922,0.253541,0.232801,0.217426,0.235866,0.195312,0.195701
0.569863,0.615672,0.565135,0.649624,0.684602,0.649530,0.761554,0.547738,0.414906,0.345750,0.290038,0.291690,0.251922,0.253541,0.232801,0.217426,0.235866,0.195312,0.195701,0.204026
0.615672,0.565135,0.649624,0.684602,0.649530,0.761554,0.547738,0.414906,0.345750,0.290038,0.291690,0.251922,0.253541,0.232801,0.217426,0.235866,0.195312,0.195701,0.204026,0.147768
0.565135,0.649624,0.684602,0.649530,0.761554,0.547738,0.414906,0.345750,0.290038,0.291690,0.251922,0.253541,0.232801,0.217426,0.235866,0.195312,0.195701,0.204026,0.147768,0.268017
0.649624,0.684602,0.649530,0.761554,0.547738,0.414906,0.345750,0.290038,0.291690,0.251922,0.253541,0.232801,0.217426,0.235866,0.195312,0.195701,0.204026,0.147768,0.268017,0.265701
0.684602,0.649530,0.761554,0.547738,0.414906,0.345750,0.290038,0.291690,0.251922,0.253541,0.232801,0.217426,0.235866,0.195312,0.195701,0.204026,0.147768,0.268017,0.265701,0.398810
0.649530,0.761554,0.547738,0.414906,0.345750,0.290038,0.291690,0.251922,0.253541,0.232801,0.217426,0.235866,0.195312,0.195701,0.204026,0.147768,0.268017,0.265701,0.398810,0.457430
0.761554,0.547738,0.414906,0.345750,0.290038,0.291690,0.251922,0.253541,0.232801,0.217426,0.235866,0.195312,0.195701,0.204026,0.147768,0.268017,0.265701,0.398810,0.457430,0.652012
0.547738,0.414906,0.345750,0.290038,0.291690,0.251922,0.253541,0.232801,0.217426,0.235866,0.195312,0.195701,0.204026,0.147768,0.268017,0.265701,0.398810,0.457430,0.652012,0.581057
0.414906,0.345750,0.290038,0.291690,0.251922,0.253541,0.232801,0.217426,0.235866,0.195312,0.195701,0.204026,0.147768,0.268017,0.265701,0.398810,0.457430,0.652012,0.581057,0.484556
0.345750,0.290038,0.291690,0.251922,0.253541,0.232801,0.217426,0.235866,0.195312,0.195701,0.204026,0.147768,0.268017,0.265701,0.398810,0.457430,0.652012,0.581057,0.484556,0.510756
0.290038,0.291690,0.251922,0.253541,0.232801,0.217426,0.235866,0.195312,0.195701,0.204026,0.147768,0.268017,0.265701,0.398810,0.457430,0.652012,0.581057,0.484556,0.510756,0.552549
0.291690,0.251922,0.253541,0.232801,0.217426,0.235866,0.195312,0.195701,0.204026,0.147768,0.268017,0.265701,0.398810,0.457430,0.652012,0.581057,0.484556,0.510756,0.552549,0.528957
0.251922,0.253541,0.232801,0.217426,0.235866,0.195312,0.195701,0.204026,0.147768,0.268017,0.265701,0.398810,0.457430,0.652012,0.581057,0.484556,0.510756,0.552549,0.528957,0.499399
0.253541,0.232801,0.217426,0.235866,0.195312,0.195701,0.204026,0.147768,0.268017,0.265701,0.398810,0.457430,0.652012,0.581057,0.484556,0.510756,0.552549,0.528957,0.499399,0.444223
0.232801,0.217426,0.235866,0.195312,0.195701,0.204026,0.147768,0.268017,0.265701,0.398810,0.457430,0.652012,0.581057,0.484556,0.510756,0.552549,0.528957,0.499399,0.444223,0.345759
0.217426,0.235866,0.195312,0.195701,0.204026,0.147768,0.268017,0.265701,0.398810,0.457430,0.652012,0.581057,0.484556,0.510756,0.552549,0.528957,0.499399,0.444223,0.345759,0.356208
0.235866,0.195312,0.195701,0.204026,0.147768,0.268017,0.265701,0.398810,0.457430,0.652012,0.581057,0.484556,0.510756,0.552549,0.528957,0.499399,0.444223,0.345759,0.356208,0.365412
0.195312,0.195701,0.204026,0.147768,0.268017,0.265701,0.398810,0.457430,0.652012,0.581057,0.484556,0.510756,0.552549,0.528957,0.499399,0.444223,0.345759,0.356208,0.365412,0.303965
0.195701,0.204026,0.147768,0.268017,0.265701,0.398810,0.457430,0.652012,0.581057,0.484556,0.510756,0.552549,0.528957,0.499399,0.444223,0.345759,0.356208,0.365412,0.303965,0.312721
0.204026,0.147768,0.268017,0.265701,0.398810,0.457430,0.652012,0.581057,0.484556,0.510756,0.552549,0.528957,0.499399,0.444223,0.345759,0.356208,0.365412,0.303965,0.312721,0.265142
0.147768,0.268017,0.265701,0.398810,0.457430,0.652012,0.581057,0.484556,0.510756,0.552549,0.528957,0.499399,0.444223,0.345759,0.356208,0.365412,0.303965,0.312721,0.265142,0.203904
0.268017,0.265701,0.398810,0.457430,0.652012,0.581057,0.484556,0.510756,0.552549,0.528957,0.499399,0.444223,0.345759,0.356208,0.365412,0.303965,0.312721,0.265142,0.203904,0.201826
0.265701,0.398810,0.457430,0.652012,0.581057,0.484556,0.510756,0.552549,0.528957,0.499399,0.444223,0.345759,0.356208,0.365412,0.303965,0.312721,0.265142,0.203904,0.201826,0.176334
