# t, t+1, t+2, t+3, t+4, t+5, t+6, t+7, t+8, t+9
14103.000000,10859.000000,9242.000000,7122.000000,5763.000000,4912.000000,4648.000000,3673.000000,3322.000000,4968.000000
10859.000000,9242.000000,7122.000000,5763.000000,4912.000000,4648.000000,3673.000000,3322.000000,4968.000000,7209.000000
9242.000000,7122.000000,5763.000000,4912.000000,4648.000000,3673.000000,3322.000000,4968.000000,7209.000000,11113.000000
7122.000000,5763.000000,4912.000000,4648.000000,3673.000000,3322.000000,4968.000000,7209.000000,11113.000000,13143.000000
5763.000000,4912.000000,4648.000000,3673.000000,3322.000000,4968.000000,7209.000000,11113.000000,13143.000000,15932.000000
4912.000000,4648.000000,3673.000000,3322.000000,4968.000000,7209.000000,11113.000000,13143.000000,15932.000000,17355.000000
4648.000000,3673.000000,3322.000000,4968.000000,7209.000000,11113.000000,13143.000000,15932.000000,17355.000000,19462.000000
3673.000000,3322.000000,4968.000000,7209.000000,11113.000000,13143.000000,15932.000000,17355.000000,19462.000000,18581.000000
3322.000000,4968.000000,7209.000000,11113.000000,13143.000000,15932.000000,17355.000000,19462.000000,18581.000000,18123.000000
4968.000000,7209.000000,11113.000000,13143.000000,15932.000000,17355.000000,19462.000000,18581.000000,18123.000000,16476.000000
7209.000000,11113.000000,13143.000000,15932.000000,17355.000000,19462.000000,18581.000000,18123.000000,16476.000000,16964.000000
11113.000000,13143.000000,15932.000000,17355.000000,19462.000000,18581.000000,18123.000000,16476.000000,16964.000000,16009.000000
13143.000000,15932.000000,17355.000000,19462.000000,18581.000000,18123.000000,16476.000000,16964.000000,16009.000000,16890.000000
15932.000000,17355.000000,19462.000000,18581.000000,18123.000000,16476.000000,16964.000000,16009.000000,16890.000000,17069.000000
17355.000000,19462.000000,18581.000000,18123.000000,16476.000000,16964.000000,16009.000000,16890.000000,17069.000000,16779.000000
19462.000000,18581.000000,18123.000000,16476.000000,16964.000000,16009.000000,16890.000000,17069.000000,16779.000000,16654.000000
18581.000000,18123.000000,16476.000000,16964.000000,16009.000000,16890.000000,17069.000000,16779.000000,16654.000000,16580.000000
18123.000000,16476.000000,16964.000000,16009.000000,16890.000000,17069.000000,16779.000000,16654.000000,16580.000000,17407.000000
16476.000000,16964.000000,16009.000000,16890.000000,17069.000000,16779.000000,16654.000000,16580.000000,17407.000000,17037.000000
