# t, t+1, t+2, t+3, t+4, t+5, t+6, t+7, t+8, t+9, t+10, t+11, t+12, t+13, t+14, t+15, t+16, t+17, t+18, t+19
20512.000000,20723.000000,20415.000000,19483.000000,19008.000000,17958.000000,18341.000000,18181.000000,17069.000000,15057.000000,13867.000000,11544.000000,9016.000000,6739.000000,5420.000000,4584.000000,3787.000000,3018.000000,2667.000000,2981.000000
20723.000000,20415.000000,19483.000000,19008.000000,17958.000000,18341.000000,18181.000000,17069.000000,15057.000000,13867.000000,11544.000000,9016.000000,6739.000000,5420.000000,4584.000000,3787.000000,3018.000000,2667.000000,2981.000000,2756.000000
20415.000000,19483.000000,19008.000000,17958.000000,18341.000000,18181.000000,17069.000000,15057.000000,13867.000000,11544.000000,9016.000000,6739.000000,5420.000000,4584.000000,3787.000000,3018.000000,2667.000000,2981.000000,2756.000000,2712.000244
19483.000000,19008.000000,17958.000000,18341.000000,18181.000000,17069.000000,15057.000000,13867.000000,11544.000000,9016.000000,6739.000000,5420.000000,4584.000000,3787.000000,3018.000000,2667.000000,2981.000000,2756.000000,2712.000244,3798.000000
19008.000000,17958.000000,18341.000000,18181.000000,17069.000000,15057.000000,13867.000000,11544.000000,9016.000000,6739.000000,5420.000000,4584.000000,3787.000000,3018.000000,2667.000000,2981.000000,2756.000000,2712.000244,3798.000000,5117.000000
17958.000000,18341.000000,18181.000000,17069.000000,15057.000000,13867.000000,11544.000000,9016.000000,6739.000000,5420.000000,4584.000000,3787.000000,3018.000000,2667.000000,2981.000000,2756.000000,2712.000244,3798.000000,5117.000000,7727.000000
18341.000000,18181.000000,17069.000000,15057.000000,13867.000000,11544.000000,9016.000000,6739.000000,5420.000000,4584.000000,3787.000000,3018.000000,2667.000000,2981.000000,2756.000000,2712.000244,3798.000000,5117.000000,7727.000000,9655.000000
18181.000000,17069.000000,15057.000000,13867.000000,11544.000000,9016.000000,6739.000000,5420.000000,4584.000000,3787.000000,3018.000000,2667.000000,2981.000000,2756.000000,2712.000244,3798.000000,5117.000000,7727.000000,9655.000000,12109.000000
17069.000000,15057.000000,13867.000000,11544.000000,9016.000000,6739.000000,5420.000000,4584.000000,3787.000000,3018.000000,2667.000000,2981.000000,2756.000000,2712.000244,3798.000000,5117.000000,7727.000000,9655.000000,12109.000000,13484.000000
15057.000000,13867.000000,11544.000000,9016.000000,6739.000000,5420.000000,4584.000000,3787.000000,3018.000000,2667.000000,2981.000000,2756.000000,2712.000244,3798.000000,5117.000000,7727.000000,9655.000000,12109.000000,13484.000000,15506.000000
13867.000000,11544.000000,9016.000000,6739.000000,5420.000000,4584.000000,3787.000000,3018.000000,2667.000000,2981.000000,2756.000000,2712.000244,3798.000000,5117.000000,7727.000000,9655.000000,12109.000000,13484.000000,15506.000000,15325.000000
11544.000000,9016.000000,6739.000000,5420.000000,4584.000000,3787.000000,3018.000000,2667.000000,2981.000000,2756.000000,2712.000244,3798.000000,5117.000000,7727.000000,9655.000000,12109.000000,13484.000000,15506.000000,15325.000000,15924.000000
9016.000000,6739.000000,5420.000000,4584.000000,3787.000000,3018.000000,2667.000000,2981.000000,2756.000000,2712.000244,3798.000000,5117.000000,7727.000000,9655.000000,12109.000000,13484.000000,15506.000000,15325.000000,15924.000000,14830.000000
6739.000000,5420.000000,4584.000000,3787.000000,3018.000000,2667.000000,2981.000000,2756.000000,2712.000244,3798.000000,5117.000000,7727.000000,9655.000000,12109.000000,13484.000000,15506.000000,15325.000000,15924.000000,14830.000000,14907.000000
5420.000000,4584.000000,3787.000000,3018.000000,2667.000000,2981.000000,2756.000000,2712.000244,3798.000000,5117.000000,7727.000000,9655.000000,12109.000000,13484.000000,15506.000000,15325.000000,15924.000000,14830.000000,14907.000000,14796.000000
4584.000000,3787.000000,3018.000000,2667.000000,2981.000000,2756.000000,2712.000244,3798.000000,5117.000000,7727.000000,9655.000000,12109.000000,13484.000000,15506.000000,15325.000000,15924.000000,14830.000000,14907.000000,14796.000000,15699.000000
3787.000000,3018.000000,2667.000000,2981.000000,2756.000000,2712.000244,3798.000000,5117.000000,7727.000000,9655.000000,12109.000000,13484.000000,15506.000000,15325.000000,15924.000000,14830.000000,14907.000000,14796.000000,15699.000000,15705.000000
3018.000000,2667.000000,2981.000000,2756.000000,2712.000244,3798.000000,5117.000000,7727.000000,9655.000000,12109.000000,13484.000000,15506.000000,15325.000000,15924.000000,14830.000000,14907.000000,14796.000000,15699.000000,15705.000000,15880.000000
