Forecasts for nyc_taxi_1.csv
t+1 Scaled RMSE: 0.987693
t+2 Scaled RMSE: 1.725395
t+3 Scaled RMSE: 2.592684
t+4 Scaled RMSE: 3.420579
t+5 Scaled RMSE: 4.249335
t+6 Scaled RMSE: 4.646130
t+7 Scaled RMSE: 5.022379
t+8 Scaled RMSE: 5.434456
t+9 Scaled RMSE: 5.918274
t+10 Scaled RMSE: 6.482026
t+11 Scaled RMSE: 7.049009
t+12 Scaled RMSE: 7.656559
t+13 Scaled RMSE: 8.230098
t+14 Scaled RMSE: 8.793449
t+15 Scaled RMSE: 8.884593
t+16 Scaled RMSE: 8.829809
t+17 Scaled RMSE: 8.848973
t+18 Scaled RMSE: 8.891071
t+19 Scaled RMSE: 9.098710
t+20 Scaled RMSE: 9.351454
Forecasts for nyc_taxi_2.csv
t+1 Scaled RMSE: 1.294521
t+2 Scaled RMSE: 2.017867
t+3 Scaled RMSE: 2.611202
t+4 Scaled RMSE: 3.221633
t+5 Scaled RMSE: 3.889438
t+6 Scaled RMSE: 4.473125
t+7 Scaled RMSE: 4.986647
t+8 Scaled RMSE: 5.461032
t+9 Scaled RMSE: 5.955945
t+10 Scaled RMSE: 6.512903
t+11 Scaled RMSE: 6.813317
t+12 Scaled RMSE: 7.129230
t+13 Scaled RMSE: 7.430075
t+14 Scaled RMSE: 7.700033
t+15 Scaled RMSE: 7.799744
t+16 Scaled RMSE: 7.920479
t+17 Scaled RMSE: 7.965018
t+18 Scaled RMSE: 8.050343
t+19 Scaled RMSE: 8.149118
t+20 Scaled RMSE: 8.260786
Forecasts for nyc_taxi_3.csv
t+1 Scaled RMSE: 1.919494
t+2 Scaled RMSE: 2.670767
t+3 Scaled RMSE: 2.861449
t+4 Scaled RMSE: 3.100099
t+5 Scaled RMSE: 3.827939
t+6 Scaled RMSE: 4.306868
t+7 Scaled RMSE: 4.532075
t+8 Scaled RMSE: 4.632521
t+9 Scaled RMSE: 4.958710
t+10 Scaled RMSE: 5.406796
t+11 Scaled RMSE: 5.931412
t+12 Scaled RMSE: 6.655412
t+13 Scaled RMSE: 7.102709
t+14 Scaled RMSE: 7.009422
t+15 Scaled RMSE: 6.846088
t+16 Scaled RMSE: 6.617634
t+17 Scaled RMSE: 6.385894
t+18 Scaled RMSE: 6.197267
t+19 Scaled RMSE: 6.072555
t+20 Scaled RMSE: 5.857323
Forecasts for nyc_taxi_4.csv
t+1 Scaled RMSE: 1.060618
t+2 Scaled RMSE: 1.899710
t+3 Scaled RMSE: 2.670449
t+4 Scaled RMSE: 3.286221
t+5 Scaled RMSE: 3.833844
t+6 Scaled RMSE: 4.253699
t+7 Scaled RMSE: 4.684331
t+8 Scaled RMSE: 5.141223
t+9 Scaled RMSE: 5.668297
t+10 Scaled RMSE: 6.209153
t+11 Scaled RMSE: 6.634919
t+12 Scaled RMSE: 7.134476
t+13 Scaled RMSE: 7.631175
t+14 Scaled RMSE: 7.954542
t+15 Scaled RMSE: 8.024588
t+16 Scaled RMSE: 8.051745
t+17 Scaled RMSE: 8.074900
t+18 Scaled RMSE: 8.141907
t+19 Scaled RMSE: 8.258048
t+20 Scaled RMSE: 8.403766
Forecasts for art_daily_small_noise.csv
t+1 Scaled RMSE: 2.526433
t+2 Scaled RMSE: 3.289299
t+3 Scaled RMSE: 3.834002
t+4 Scaled RMSE: 4.368284
t+5 Scaled RMSE: 4.828335
t+6 Scaled RMSE: 5.263522
t+7 Scaled RMSE: 5.845535
t+8 Scaled RMSE: 6.347997
t+9 Scaled RMSE: 6.807217
t+10 Scaled RMSE: 7.270756
t+11 Scaled RMSE: 7.704867
t+12 Scaled RMSE: 8.108939
t+13 Scaled RMSE: 8.472945
t+14 Scaled RMSE: 8.879907
t+15 Scaled RMSE: 9.194323
t+16 Scaled RMSE: 9.609607
t+17 Scaled RMSE: 9.943658
t+18 Scaled RMSE: 10.241230
t+19 Scaled RMSE: 10.576847
t+20 Scaled RMSE: 10.895266
Forecasts for ambient_temperature_system_failure_1.csv
t+1 Scaled RMSE: 1.296163
t+2 Scaled RMSE: 1.461916
t+3 Scaled RMSE: 1.658549
t+4 Scaled RMSE: 1.875616
t+5 Scaled RMSE: 2.087596
t+6 Scaled RMSE: 2.307661
t+7 Scaled RMSE: 2.485165
t+8 Scaled RMSE: 2.626220
t+9 Scaled RMSE: 2.798142
t+10 Scaled RMSE: 2.937280
t+11 Scaled RMSE: 3.039196
t+12 Scaled RMSE: 3.121804
t+13 Scaled RMSE: 3.163664
t+14 Scaled RMSE: 3.207851
t+15 Scaled RMSE: 3.230462
t+16 Scaled RMSE: 3.264898
t+17 Scaled RMSE: 3.282840
t+18 Scaled RMSE: 3.304971
t+19 Scaled RMSE: 3.336180
t+20 Scaled RMSE: 3.383469
Forecasts for ambient_temperature_system_failure_2.csv
t+1 Scaled RMSE: 1.394237
t+2 Scaled RMSE: 1.501774
t+3 Scaled RMSE: 1.627474
t+4 Scaled RMSE: 1.766586
t+5 Scaled RMSE: 1.898549
t+6 Scaled RMSE: 2.027579
t+7 Scaled RMSE: 2.141278
t+8 Scaled RMSE: 2.265719
t+9 Scaled RMSE: 2.433655
t+10 Scaled RMSE: 2.514876
t+11 Scaled RMSE: 2.509358
t+12 Scaled RMSE: 2.527852
t+13 Scaled RMSE: 2.562988
t+14 Scaled RMSE: 2.612195
t+15 Scaled RMSE: 2.641347
t+16 Scaled RMSE: 2.672992
t+17 Scaled RMSE: 2.670162
t+18 Scaled RMSE: 2.681296
t+19 Scaled RMSE: 2.696151
t+20 Scaled RMSE: 2.705259
Forecasts for ambient_temperature_system_failure_3.csv
t+1 Scaled RMSE: 1.648660
t+2 Scaled RMSE: 2.133657
t+3 Scaled RMSE: 2.671620
t+4 Scaled RMSE: 3.179441
t+5 Scaled RMSE: 3.689685
t+6 Scaled RMSE: 4.108256
t+7 Scaled RMSE: 4.499951
t+8 Scaled RMSE: 4.866474
t+9 Scaled RMSE: 5.175729
t+10 Scaled RMSE: 5.434062
t+11 Scaled RMSE: 5.633124
t+12 Scaled RMSE: 5.693784
t+13 Scaled RMSE: 5.703337
t+14 Scaled RMSE: 5.596310
t+15 Scaled RMSE: 5.511286
t+16 Scaled RMSE: 5.379310
t+17 Scaled RMSE: 5.291002
t+18 Scaled RMSE: 5.201744
t+19 Scaled RMSE: 5.111525
t+20 Scaled RMSE: 5.098793
