# t, t+1, t+2, t+3, t+4, t+5, t+6, t+7, t+8, t+9, t+10, t+11, t+12, t+13, t+14, t+15, t+16, t+17, t+18, t+19
75.342239,75.370438,75.412910,75.460564,75.525307,75.592308,75.646774,75.726074,75.801346,75.853638,75.897682,75.920280,75.937096,75.928543,75.913048,75.882896,75.806816,75.741592,75.716484,75.635429
75.367920,75.408043,75.464447,75.526489,75.599846,75.677193,75.750343,75.825394,75.896500,75.939621,75.967972,75.981354,75.990753,75.966606,75.931740,75.892227,75.815002,75.757523,75.712151,75.632286
74.953514,74.955864,74.979507,75.034485,75.128181,75.209305,75.249069,75.373619,75.443428,75.548309,75.652847,75.691422,75.662552,75.691910,75.710518,75.645943,75.611832,75.455040,75.412483,75.380394
74.699585,74.715118,74.755951,74.817574,74.914627,75.015289,75.094437,75.231026,75.349335,75.453453,75.548904,75.598785,75.619995,75.627762,75.620926,75.569199,75.468857,75.341782,75.290863,75.173897
74.209999,74.189095,74.204025,74.267899,74.397057,74.519913,74.592316,74.797012,74.939636,75.118500,75.298248,75.383728,75.382507,75.439224,75.475830,75.395248,75.314575,75.084045,75.017151,74.913902
73.924072,73.949570,74.014000,74.105042,74.242172,74.395523,74.535645,74.730995,74.920578,75.063934,75.188087,75.261726,75.314560,75.308136,75.276047,75.204758,75.028717,74.867516,74.776421,74.564941
73.762352,73.808723,73.901207,74.030441,74.205849,74.393394,74.565353,74.781090,74.970375,75.121262,75.243179,75.303429,75.321022,75.293274,75.232315,75.121010,74.939262,74.741035,74.605881,74.400764
73.697227,73.785088,73.919144,74.085320,74.285065,74.493279,74.688019,74.891693,75.064613,75.186325,75.267326,75.292473,75.276520,75.203979,75.096741,74.955528,74.756721,74.560051,74.399170,74.199562
73.587189,73.699387,73.856354,74.046486,74.269035,74.488426,74.676529,74.881813,75.036110,75.149239,75.219749,75.219788,75.160110,75.068130,74.944496,74.772385,74.570831,74.340851,74.175171,73.999092
74.242973,74.460060,74.694550,74.908989,75.092804,75.268272,75.435852,75.491096,75.539284,75.481033,75.362564,75.244240,75.141579,74.930382,74.706680,74.545448,74.334656,74.260017,74.129829,74.006111
74.878174,75.121147,75.363533,75.576569,75.740547,75.869949,75.966316,75.948135,75.891190,75.766823,75.589081,75.407440,75.219231,74.990318,74.765007,74.590675,74.456497,74.395569,74.303078,74.309792
