# t, t+1, t+2, t+3, t+4, t+5, t+6, t+7, t+8, t+9, t+10, t+11, t+12, t+13, t+14, t+15, t+16, t+17, t+18, t+19
18.302670,18.137939,18.035673,17.776152,17.715439,17.427490,17.220791,17.049967,16.813137,16.619152,16.509747,16.290951,16.094568,15.792789,15.608344,15.482388,15.269537,15.058186,14.871333,14.709588
18.645655,18.476147,18.258429,18.157228,17.926426,17.787924,17.622475,17.419209,17.257734,17.089190,16.869783,16.701487,16.499052,16.399372,16.209206,15.984425,15.817399,15.648813,15.477974,15.289945
18.714350,18.565474,18.389685,18.240355,17.907696,17.829006,17.625134,17.485540,17.364969,17.130411,16.875666,16.727753,16.615860,16.462048,16.255880,16.074568,15.941292,15.786234,15.575485,15.358285
18.837517,18.667576,18.570148,18.235125,18.078960,17.871077,17.645039,17.541565,17.338797,17.082706,16.961433,16.780405,16.662664,16.311031,16.141979,16.063755,15.874284,15.670102,15.450545,15.284517
19.097139,18.881557,18.586338,18.431553,18.189920,18.093691,17.967360,17.774817,17.609646,17.447145,17.265234,17.136015,16.918037,16.836554,16.704430,16.488796,16.310156,16.132620,15.973583,15.831058
19.143961,18.958834,18.737505,18.566864,18.279089,18.209375,18.032770,17.882320,17.738724,17.522438,17.307230,17.170837,17.022285,16.875954,16.710484,16.524988,16.366924,16.199453,16.006178,15.824819
19.505568,19.329491,19.396204,18.903131,19.079031,18.649988,18.370146,18.266993,17.923454,17.664133,17.709002,17.430191,17.262850,16.644909,16.485382,16.504822,16.218466,15.947390,15.728039,15.603369
20.341616,20.143797,19.988413,19.842258,19.988285,19.598803,19.447817,19.155005,18.837383,18.760048,18.706593,18.437763,18.074606,17.861332,17.695448,17.480631,17.200075,16.965399,16.849854,16.729597
20.342045,20.234564,19.891985,20.154669,19.577978,19.655701,19.522310,19.248358,19.250078,19.122662,18.635073,18.518066,18.335981,18.611526,18.326836,17.907738,17.858791,17.787609,17.628468,17.327066
19.750498,19.707996,19.638359,19.451160,18.772343,18.799068,18.502972,18.496933,18.524488,18.149841,17.735361,17.629450,17.753063,17.555887,17.248669,17.142000,17.141441,17.044762,16.734058,16.400978
19.599117,19.412701,19.390015,18.712114,18.617254,18.284239,18.032612,18.050051,17.802923,17.467678,17.498482,17.330236,17.297058,16.678673,16.566662,16.682878,16.474472,16.219561,15.954675,15.854138
20.027122,19.721899,19.240229,19.050051,18.900761,18.761946,18.757254,18.498812,18.283672,18.224966,18.147778,18.057222,17.699276,17.731585,17.706242,17.455708,17.227228,17.018950,16.931021,16.900091
20.411823,20.198614,20.120470,19.790047,19.887197,19.589745,19.374701,19.207952,18.900019,18.698868,18.678322,18.441845,18.208929,17.799028,17.665258,17.568628,17.291185,17.046816,16.868687,16.750471
21.024572,20.844835,20.710436,20.597990,20.639400,20.345991,20.163929,19.904240,19.632765,19.509157,19.389633,19.138306,18.839935,18.633480,18.444090,18.224415,17.976091,17.765060,17.622631,17.461765
21.076662,20.960476,20.665520,20.837715,20.310335,20.371172,20.212776,19.976149,19.953014,19.790516,19.348787,19.225204,19.069639,19.238113,18.969030,18.604956,18.537653,18.449627,18.273539,17.985035
20.641785,20.567938,20.497114,20.269896,19.720900,19.693579,19.410748,19.384418,19.354719,19.004520,18.662575,18.537651,18.606134,18.362564,18.089207,17.992670,17.944895,17.821487,17.530867,17.237648
20.476538,20.254642,19.936726,19.602312,19.139982,19.161310,19.021347,18.961903,18.874870,18.605888,18.409851,18.367975,18.302046,18.149099,18.052237,17.942369,17.824379,17.659832,17.441051,17.303905
20.491369,20.209795,19.956179,19.488937,19.399956,19.233599,19.096079,18.997780,18.748703,18.524273,18.526930,18.409811,18.221298,17.877911,17.846067,17.791859,17.547827,17.307642,17.126381,17.078140
20.471405,20.197910,19.659857,19.684397,19.289848,19.362644,19.351759,19.082806,18.980684,18.904690,18.644943,18.598442,18.295141,18.522022,18.443203,18.084496,17.931684,17.789696,17.689512,17.575651
20.241112,20.072437,19.935160,19.678648,19.395311,19.317093,19.090807,18.996494,18.849104,18.573343,18.373356,18.227024,18.144396,17.874840,17.697691,17.577591,17.421686,17.247391,17.018875,16.822979
20.469175,20.259266,20.102755,19.778376,19.687258,19.482477,19.293682,19.157499,18.924824,18.706678,18.623817,18.448635,18.268467,17.952276,17.824028,17.719894,17.498856,17.282207,17.091911,16.964270
20.511297,20.295992,19.867212,19.900347,19.457636,19.521175,19.444546,19.210453,19.134897,19.006971,18.694429,18.621384,18.394508,18.555006,18.410404,18.078548,17.956856,17.829897,17.690493,17.515203
20.079992,19.923298,19.659046,19.528093,18.954136,19.059454,18.871727,18.784870,18.760773,18.479887,18.135618,18.070982,18.042515,17.987072,17.795660,17.601044,17.532175,17.415632,17.181086,16.944727
19.736969,19.518045,19.223320,18.909870,18.454853,18.500906,18.343464,18.286320,18.198254,17.916821,17.708059,17.658735,17.601334,17.434122,17.328745,17.212584,17.091221,16.929865,16.705452,16.554882
19.657013,19.378767,19.054062,18.692392,18.465384,18.409472,18.293388,18.182119,17.993866,17.776846,17.694019,17.614040,17.437212,17.227646,17.185526,17.068853,16.864334,16.657108,16.479969,16.406057
19.465580,19.193684,18.665012,18.647371,18.165304,18.312099,18.280619,18.064045,17.995291,17.867254,17.583992,17.566004,17.330305,17.525087,17.450096,17.122219,16.992693,16.861002,16.732632,16.605913
