# t, t+1, t+2, t+3, t+4, t+5, t+6, t+7, t+8, t+9
128.957993,125.790344,137.817368,136.270035,144.183929,135.229050,132.535080,127.776039,126.570694,131.029251
90.663193,105.533539,95.985565,104.215561,99.300056,102.229965,98.196915,95.247528,100.379089,101.125938
84.238136,87.096321,81.698166,83.662613,84.037621,85.158951,81.089546,82.310669,85.686218,85.140312
81.810577,82.524887,78.891388,79.552582,79.564308,80.104958,78.253914,79.862503,81.801384,81.104103
61.393402,64.215858,61.578716,63.374832,63.761898,63.407814,60.747021,60.639687,62.880909,63.187660
68.582184,66.031082,65.925323,64.639076,65.194031,64.329376,64.741943,66.340256,66.286987,65.783180
58.846367,61.643219,58.795460,60.382996,59.395050,59.937748,58.645351,58.609516,60.054672,59.927410
71.331978,63.756355,68.377930,64.206802,66.145416,63.240005,66.154488,68.073479,65.574806,65.280754
41.691463,47.192337,47.456097,50.103672,49.202938,49.451416,47.380775,43.572800,43.940155,45.202137
49.876312,47.566452,48.707905,47.338150,47.944790,47.407146,47.588112,48.008755,47.232128,46.961800
37.294384,40.411407,38.553680,40.160866,39.493301,40.298252,38.352180,37.244823,38.273682,38.402546
32.974716,35.060116,31.725151,32.947132,32.411549,33.535046,31.462906,31.882090,33.504841,33.023560
30.108547,31.477615,27.976276,28.879507,28.419275,29.327894,27.614622,28.667912,30.336082,29.691544
41.479893,34.682594,38.052631,34.356529,36.003536,33.657745,36.055077,38.207424,36.273708,35.782787
24.307360,29.627260,26.967377,29.636047,27.494869,29.036816,27.546707,25.637714,26.656677,26.855507
29.796850,29.083820,27.473156,27.124239,27.156107,27.629509,26.781654,27.863447,28.400366,27.725460
23.274654,25.394800,22.269217,23.481499,22.688395,23.696865,22.090965,22.439384,23.862080,23.421768
23.055771,23.993055,20.648182,21.295191,20.705557,21.609280,20.319054,21.556433,22.988562,22.242739
22.401337,23.238573,19.847118,20.459253,19.794094,20.584576,19.522701,20.916719,22.351440,21.585899
28.220186,26.960253,24.745789,24.196903,23.732382,23.928389,24.166424,26.227861,26.838083,25.900120
21.941648,24.058113,20.685492,21.923841,20.859137,21.778255,20.593281,21.210251,22.668314,22.164330
26.416779,26.003296,23.272205,23.182266,22.635246,23.173773,22.813438,24.593000,25.529261,24.629421
39.392281,30.373444,35.594845,30.644527,32.355427,28.931599,33.315586,35.961136,32.871449,32.395077
29.334126,36.791973,31.233267,34.871376,30.040209,34.060230,33.332016,31.673647,32.774647,32.069477
31.063631,29.546450,29.222013,28.399141,29.648333,29.848156,27.995642,28.531967,28.835991,28.415634
35.544380,34.656536,33.158169,32.645542,31.988230,32.536045,32.739624,33.957550,34.047386,33.238667
30.200182,32.191822,29.337917,30.417933,29.467283,30.597782,29.239616,29.456381,30.590023,30.118362
41.171909,36.623985,37.758976,35.283230,35.895767,34.867470,36.455296,38.465080,37.380249,36.625664
49.830830,49.455044,46.475166,46.219296,43.587822,44.674820,46.914276,49.039009,48.977188,47.637920
50.740784,51.999584,48.842232,49.448074,47.811405,49.505096,49.070023,49.860466,50.528954,49.585079
59.498207,57.459545,55.969734,54.861496,54.313824,54.829563,55.453529,57.368092,57.280071,56.188614
41.952572,44.731636,43.425140,44.858871,44.655495,45.139568,42.981865,41.732021,42.693626,42.972095
48.508923,47.324780,46.122280,45.493687,45.332081,45.562645,45.448769,46.671520,46.860439,46.167278
45.553535,47.256474,44.178871,45.142853,44.077366,45.112961,44.093056,44.708889,45.882656,45.298019
36.127697,38.261505,35.253582,36.529316,36.229057,36.970901,34.841232,35.108807,36.778240,36.490211
45.373810,41.542110,42.175690,40.137955,40.823299,39.869602,40.881042,42.757877,42.114582,41.448044
56.426479,52.556866,52.741055,50.613071,49.468460,48.574116,52.155788,54.717037,53.434490,52.415585
37.057205,40.674477,40.309971,41.981991,41.165905,41.904648,40.196239,37.778931,38.016434,38.557381
46.908318,42.746239,45.119846,42.702042,43.591713,42.556351,43.741310,44.582485,43.011410,42.633240
31.780684,35.760986,34.069275,36.018433,34.888100,36.102184,34.156643,32.322296,33.096344,33.331718
32.330296,33.273838,30.729446,31.269785,30.924734,31.962185,30.339918,30.902256,31.962002,31.371958
44.422874,27.653633,43.018517,33.531063,39.413231,31.773109,38.202553,39.354286,32.157860,33.060982
27.593327,42.516964,33.741920,40.828655,31.752926,40.070435,38.500576,33.586338,34.773129,33.900242
34.346169,28.658062,32.716930,29.535408,33.839104,32.543045,29.931282,29.944670,28.806879,28.856194
38.979748,34.262070,38.287685,35.405258,36.142174,34.711800,36.898281,37.106068,34.531628,34.389065
26.305910,31.065956,29.002651,31.219639,29.282082,31.440981,29.593307,27.312902,27.801025,27.850712
40.554333,31.412388,38.429596,33.200752,35.951115,32.823795,35.818714,36.937668,33.218410,33.121086
49.346558,51.467934,46.901756,47.757652,42.629490,45.413902,48.684448,50.190731,49.859993,48.165184
59.734787,59.407452,56.347347,55.987846,53.997677,56.324150,56.753174,58.265652,58.207142,56.668457
53.370766,54.531536,53.063969,53.528538,53.201649,54.566486,52.747704,52.274483,52.686024,52.286156
42.473431,45.234924,42.366146,43.859035,43.436554,44.769737,42.131905,41.693821,43.184814,42.939281
40.784573,42.354664,38.663765,39.640259,39.072639,40.326374,38.409180,39.351868,41.017792,40.297836
51.735008,45.806503,48.234406,45.023502,46.404945,44.605606,46.458508,48.569305,47.060669,46.462185
42.518173,47.017899,43.184994,45.493015,42.956570,44.894791,43.933880,43.278954,44.490997,44.105900
