t, t+1, t+2, t+3, t+4, t+5, t+6, t+7, t+8, t+9, t+10, t+11, t+12, t+13, t+14, t+15, t+16, t+17, t+18, t+19
0.230246,0.245452,0.269375,0.298032,0.328970,0.353151,0.368372,0.376101,0.377669,0.378108,0.379654,0.383955,0.392770,0.404958,0.415024,0.420508,0.418528,0.406389,0.384856,0.352527
0.261100,0.276666,0.297788,0.321521,0.346170,0.365246,0.377724,0.385249,0.388869,0.392207,0.396443,0.402081,0.409829,0.418105,0.422903,0.422394,0.414987,0.399539,0.377396,0.348625
0.392488,0.390231,0.391135,0.395706,0.403602,0.414412,0.427761,0.442578,0.457806,0.472323,0.484733,0.493729,0.498832,0.499425,0.496236,0.489572,0.480103,0.468653,0.456127,0.443357
0.537150,0.514532,0.497104,0.488047,0.487384,0.498513,0.519582,0.545254,0.571728,0.593769,0.608389,0.614012,0.610870,0.601102,0.590081,0.580382,0.573920,0.571833,0.573362,0.577774
0.579234,0.554929,0.538203,0.532029,0.535830,0.552325,0.577989,0.605826,0.631101,0.648390,0.655276,0.651375,0.638587,0.621107,0.605465,0.594905,0.591115,0.594380,0.602766,0.613723
0.541450,0.527428,0.521994,0.526281,0.538917,0.559644,0.584193,0.606549,0.622813,0.629949,0.627184,0.615577,0.598297,0.579921,0.565235,0.556699,0.554916,0.559023,0.566825,0.574821
0.621765,0.604173,0.595393,0.596752,0.606874,0.625766,0.648803,0.669428,0.683625,0.688206,0.682665,0.668519,0.649389,0.630486,0.616941,0.611306,0.613941,0.623497,0.637137,0.650602
0.658798,0.642380,0.634368,0.635768,0.645123,0.662098,0.681936,0.698281,0.707445,0.706823,0.696526,0.678670,0.657334,0.638061,0.625700,0.622586,0.628698,0.642213,0.659888,0.676950
0.635537,0.627527,0.627059,0.633772,0.645931,0.661282,0.675364,0.683524,0.683413,0.674597,0.658471,0.637950,0.617413,0.601793,0.593872,0.594902,0.603928,0.618398,0.635201,0.649482
0.738568,0.722386,0.712462,0.709516,0.712387,0.720715,0.730536,0.736759,0.736954,0.729642,0.715768,0.697900,0.679911,0.666696,0.661776,0.666575,0.680306,0.700529,0.723758,0.745154
0.551793,0.556101,0.568044,0.584481,0.602982,0.616639,0.621400,0.615951,0.600770,0.580002,0.557563,0.537881,0.525704,0.524219,0.531084,0.544954,0.562403,0.578856,0.591524,0.595140
0.444314,0.467391,0.498566,0.531296,0.562223,0.578751,0.577343,0.560689,0.532239,0.501288,0.474218,0.456701,0.453656,0.465952,0.485493,0.508167,0.528216,0.539415,0.540026,0.525035
0.392524,0.427982,0.470431,0.511430,0.547375,0.562756,0.555142,0.530361,0.494032,0.458547,0.431495,0.418752,0.424605,0.447689,0.476111,0.503879,0.524033,0.529837,0.520691,0.492592
0.349946,0.394432,0.443960,0.489029,0.526181,0.538501,0.525078,0.494489,0.454099,0.418251,0.394944,0.389554,0.405140,0.437967,0.473339,0.503832,0.521955,0.521176,0.502230,0.462704
0.353553,0.398134,0.443602,0.481507,0.509497,0.513149,0.493900,0.461863,0.425022,0.396785,0.383787,0.389435,0.414430,0.452780,0.489736,0.517686,0.530207,0.522575,0.496990,0.453700
0.316590,0.362470,0.406307,0.440334,0.463004,0.461504,0.439170,0.407506,0.375014,0.354492,0.351401,0.367423,0.401240,0.444787,0.482993,0.508016,0.514289,0.498622,0.464653,0.414969
0.311441,0.351238,0.384313,0.405410,0.414551,0.403945,0.379333,0.352304,0.330702,0.324094,0.335247,0.362972,0.403175,0.446157,0.479248,0.495637,0.492096,0.468371,0.429524,0.381241
0.283721,0.318096,0.342602,0.354182,0.354031,0.338606,0.315214,0.294891,0.284423,0.290271,0.312792,0.348449,0.391143,0.430343,0.456049,0.462709,0.449280,0.418050,0.375136,0.328566
0.258947,0.286636,0.302042,0.304469,0.296135,0.277949,0.258151,0.246341,0.247644,0.264932,0.296145,0.335705,0.376102,0.406918,0.421760,0.416842,0.393487,0.356440,0.312415,0.271184
0.262261,0.279387,0.283047,0.275217,0.258956,0.239922,0.226397,0.225244,0.239174,0.266810,0.303706,0.342721,0.375728,0.393669,0.394897,0.377972,0.346642,0.307765,0.267899,0.237547
0.217237,0.232932,0.237173,0.232327,0.221048,0.209464,0.204337,0.210356,0.228548,0.256165,0.288426,0.318623,0.339904,0.345359,0.335813,0.311230,0.276106,0.237480,0.201148,0.176533
0.210508,0.222276,0.224373,0.219753,0.210760,0.204326,0.205687,0.217187,0.238222,0.264564,0.291213,0.312056,0.321605,0.315274,0.296473,0.266546,0.230596,0.195612,0.166314,0.150746
0.213889,0.223342,0.225836,0.224215,0.220154,0.220058,0.227165,0.241685,0.261756,0.282685,0.300038,0.309057,0.306242,0.289574,0.264163,0.232302,0.198982,0.170312,0.149588,0.142724
