# t, t+1, t+2, t+3, t+4, t+5, t+6, t+7, t+8, t+9
14499.977539,14289.444336,14691.143555,15218.676758,15671.638672,15743.143555,15602.944336,15397.266602,15303.879883,15433.130859
13650.947266,14049.414062,14768.057617,15356.172852,15607.275391,15482.313477,15252.820312,15187.617188,15417.770508,16039.149414
20579.007812,23624.232422,25475.996094,26414.693359,26401.320312,26241.568359,26027.574219,25997.228516,25998.691406,26036.794922
22909.816406,24952.205078,25823.720703,25904.570312,25276.789062,24708.855469,24283.226562,24178.267578,24220.980469,24374.080078
24745.970703,25908.460938,26217.328125,26032.044922,25467.347656,25033.474609,24726.382812,24599.833984,24513.625000,24424.794922
25172.072266,25398.101562,25106.748047,24649.308594,24179.367188,23941.597656,23833.490234,23768.769531,23631.771484,23365.025391
26040.222656,25839.324219,25374.183594,24951.990234,24718.267578,24734.505859,24837.945312,24863.328125,24719.839844,24350.384766
26073.425781,25517.212891,24935.626953,24552.015625,24488.089844,24637.214844,24813.257812,24811.765625,24583.691406,24087.546875
26108.380859,25514.529297,25034.962891,24780.980469,24826.595703,24977.892578,25077.509766,24948.031250,24588.468750,23988.707031
24520.162109,23917.513672,23774.615234,23810.693359,23942.027344,23782.871094,23348.669922,22631.841797,21796.484375,20946.982422
24416.843750,24488.060547,24757.968750,24901.855469,24797.134766,24257.296875,23417.988281,22422.054688,21443.853516,20620.855469
25659.021484,26082.029297,26117.287109,25750.677734,24997.136719,24006.943359,22894.363281,21801.724609,20790.273438,19941.470703
25115.935547,24859.779297,24248.152344,23337.175781,22221.974609,20996.044922,19744.994141,18551.359375,17468.236328,16553.876953
23391.587891,22362.701172,21198.662109,19907.187500,18612.406250,17257.509766,15928.364258,14669.158203,13564.348633,12669.187500
21924.117188,20491.683594,19014.255859,17460.195312,15968.570312,14434.479492,12976.230469,11648.373047,10554.364258,9750.049805
17609.308594,14960.477539,12613.424805,10506.893555,8838.504883,7332.459961,6104.174316,5136.565918,4531.983398,4298.711914
15236.303711,12627.595703,10436.457031,8535.515625,7083.416016,5818.369141,4897.314941,4336.495117,4227.580566,4562.738770
11793.787109,9655.330078,8133.562012,6930.198242,6082.334961,5356.625488,4992.692871,5095.895508,5758.131836,6968.524414
9226.124023,7539.458496,6407.481445,5469.766113,4711.856934,4046.879395,3812.168701,4221.138184,5347.241699,7173.467773
