# t, t+1, t+2, t+3, t+4, t+5, t+6, t+7, t+8, t+9, t+10, t+11, t+12, t+13, t+14, t+15, t+16, t+17, t+18, t+19
28450.250000,29917.666016,30829.507812,31413.080078,31619.544922,31728.796875,31671.226562,31528.269531,31207.880859,30779.802734,30298.365234,29762.496094,29203.453125,28633.679688,28067.265625,27495.992188,26943.013672,26418.869141,26041.863281,25850.371094
27381.248047,27852.808594,28310.896484,28689.132812,28942.500000,29011.898438,28912.205078,28659.839844,28313.394531,27919.345703,27530.054688,27169.722656,26867.585938,26642.523438,26515.871094,26483.369141,26509.771484,26559.437500,26599.406250,26643.626953
28842.966797,29417.265625,29677.148438,29775.343750,29710.845703,29646.804688,29541.103516,29425.123047,29240.353516,29012.582031,28762.455078,28487.832031,28197.699219,27893.687500,27581.103516,27264.833984,26971.921875,26723.650391,26582.042969,26548.841797
26479.064453,26262.291016,26232.189453,26224.369141,26216.662109,26069.230469,25863.453125,25615.548828,25428.632812,25320.572266,25291.449219,25362.597656,25528.244141,25789.617188,26129.369141,26522.664062,26901.125000,27225.140625,27438.406250,27568.859375
28739.087891,29262.505859,29382.916016,29303.339844,29034.373047,28839.531250,28700.544922,28688.314453,28710.111328,28778.789062,28865.753906,28951.443359,29012.345703,29030.166016,28966.859375,28799.886719,28548.884766,28251.849609,28032.857422,27930.474609
24051.205078,23805.082031,23749.744141,23675.703125,23545.248047,23256.072266,22959.802734,22735.287109,22702.332031,22880.636719,23218.687500,23729.349609,24372.187500,25129.593750,25927.359375,26690.302734,27297.882812,27698.580078,27880.634766,27941.029297
22977.628906,22572.250000,22312.888672,22070.513672,21841.144531,21588.568359,21437.419922,21447.589844,21684.185547,22134.949219,22722.578125,23439.996094,24230.695312,25066.205078,25865.134766,26561.976562,27073.505859,27382.810547,27511.128906,27540.990234
25938.406250,26638.669922,26853.927734,26884.134766,26756.644531,26817.978516,27001.230469,27355.732422,27719.027344,28078.433594,28397.365234,28632.406250,28756.353516,28747.113281,28572.621094,28222.640625,27761.945312,27262.267578,26892.750000,26683.732422
26695.806641,27083.990234,27242.244141,27396.789062,27592.289062,27990.031250,28472.058594,28978.646484,29378.578125,29634.488281,29762.019531,29727.199219,29538.517578,29196.945312,28737.656250,28207.750000,27713.005859,27325.494141,27111.236328,27019.572266
28559.117188,29222.412109,29646.214844,30048.818359,30455.814453,30999.708984,31538.107422,31998.236328,32257.980469,32297.859375,32172.480469,31857.548828,31387.384766,30778.021484,30094.255859,29397.376953,28798.986328,28359.623047,28123.589844,28026.730469
28852.019531,29371.646484,29968.421875,30626.169922,31325.041016,31950.714844,32418.949219,32638.425781,32618.599609,32367.244141,31980.660156,31468.435547,30891.388672,30286.572266,29741.968750,29314.511719,29050.464844,28947.011719,28935.691406,28955.597656
28824.662109,29291.451172,29901.431641,30556.943359,31217.894531,31716.722656,32014.894531,32047.050781,31873.255859,31519.062500,31078.445312,30573.818359,30063.482422,29584.728516,29211.835938,28981.976562,28899.148438,28933.550781,28996.587891,29051.406250
26514.765625,26541.292969,26867.765625,27296.210938,27790.464844,28096.369141,28231.482422,28136.339844,27926.216797,27620.876953,27290.642578,26966.013672,26688.837891,26489.236328,26419.580078,26501.191406,26700.937500,26971.863281,27191.285156,27333.470703
24350.001953,24108.414062,24189.789062,24379.275391,24651.851562,24758.453125,24749.896484,24584.927734,24389.328125,24175.849609,23984.722656,23845.082031,23778.357422,23803.115234,23945.195312,24210.550781,24548.978516,24914.023438,25190.121094,25365.296875
22546.878906,22161.947266,22085.087891,22101.832031,22193.716797,22136.644531,22006.562500,21784.417969,21597.544922,21456.029297,21375.121094,21381.687500,21480.208984,21679.273438,21980.982422,22376.224609,22801.216797,23210.958984,23505.939453,23690.294922
19810.457031,19220.419922,18948.960938,18768.121094,18666.718750,18442.812500,18210.416016,17977.542969,17876.232422,17908.476562,18052.117188,18328.291016,18716.369141,19210.718750,19779.244141,20389.929688,20957.923828,21439.593750,21756.634766,21939.601562
18312.437500,17678.998047,17322.226562,17042.306641,16836.460938,16541.916016,16275.575195,16055.885742,15999.340820,16102.893555,16329.003906,16693.466797,17165.466797,17732.746094,18350.888672,18982.472656,19545.416016,20004.623047,20301.822266,20473.546875
15813.179688,15032.812500,14546.419922,14138.965820,13811.619141,13420.780273,13117.105469,12942.385742,13015.490234,13324.243164,13796.753906,14441.289062,15204.173828,16060.423828,16934.539062,17767.009766,18456.562500,18969.501953,19269.660156,19421.240234
13377.427734,12465.150391,11844.976562,11315.332031,10889.159180,10454.782227,10176.567383,10105.917969,10346.977539,10872.375977,11580.686523,12469.240234,13465.050781,14531.846680,15572.035156,16514.441406,17256.216797,17774.583984,18057.810547,18184.394531
11084.872070,10091.721680,9380.780273,8775.906250,8302.535156,7884.162598,7686.608887,7762.837891,8194.289062,8936.793945,9865.466797,10965.215820,12148.008789,13368.544922,14514.318359,15508.307617,16254.955078,16745.789062,16993.687500,17085.222656
8358.964844,7267.939453,6469.438477,5803.743164,5308.478516,4930.010254,4835.798340,5075.813965,5712.292969,6682.702148,7840.012207,9156.860352,10531.107422,11909.255859,13165.844727,14219.229492,14980.943359,15455.852539,15676.326172,15735.432617
4312.511230,3132.257324,2259.911621,1533.017578,994.470337,601.420349,534.043518,848.424927,1602.421997,2723.809814,4046.403320,5536.188477,7078.502930,8612.852539,9998.961914,11146.089844,11961.110352,12453.441406,12668.266602,12710.277344
2141.360840,930.759888,39.805908,-640.768616,-1045.571289,-1212.873657,-1013.764099,-441.850220,520.404358,1775.033936,3165.752930,4646.238281,6109.695801,7499.431152,8700.425781,9650.990234,10305.240234,10698.400391,10873.242188,10897.651367
2281.623047,1615.752808,1086.093750,742.171204,658.290649,906.616394,1511.903931,2439.618896,3610.854492,4916.794434,6236.802734,7505.162598,8640.638672,9598.000977,10306.138672,10741.735352,10936.473633,10964.215820,10909.969727,10805.093750
2414.723877,2053.985596,1841.671143,1876.053223,2233.566406,2962.116211,4002.361328,5249.043945,6583.963867,7885.198242,9082.501953,10102.855469,10900.173828,11449.111328,11737.154297,11786.355469,11687.647461,11532.571289,11385.769531,11228.618164
3896.506592,4183.559082,4661.874023,5390.010742,6397.999512,7642.041992,9004.035156,10333.356445,11531.758789,12506.555664,13275.075195,13779.365234,14032.103516,14043.264648,13871.088867,13570.615234,13248.701172,12972.136719,12753.268555,12546.045898
4069.408447,4771.088379,6076.499512,7683.833984,9509.512695,11151.525391,12565.944336,13592.669922,14333.169922,14765.122070,15003.244141,15043.962891,14963.030273,14815.833984,14711.681641,14691.604492,14752.165039,14845.548828,14827.539062,14683.015625
6697.064453,8474.418945,10583.315430,12678.223633,14570.787109,15957.355469,16869.371094,17301.242188,17411.187500,17283.519531,17058.951172,16764.753906,16491.039062,16301.127930,16268.362305,16361.718750,16472.707031,16482.320312,16301.768555,16029.502930
7885.686523,10060.289062,12543.769531,14891.567383,16854.271484,18092.681641,18697.269531,18731.103516,18425.189453,17922.800781,17387.279297,16872.791016,16482.554688,16289.108398,16353.613281,16608.947266,16873.841797,16974.929688,16810.718750,16533.113281
11594.791016,14304.524414,16466.031250,18069.570312,18907.693359,19226.089844,19102.751953,18785.460938,18306.208984,17834.029297,17430.052734,17114.041016,16919.904297,16867.457031,16909.089844,16918.910156,16746.322266,16292.095703,15718.414062,15254.390625
11691.744141,13600.250977,15339.384766,16739.906250,17620.283203,17982.974609,17920.568359,17592.060547,17110.027344,16612.423828,16175.419922,15834.313477,15633.062500,15601.573242,15724.566406,15910.031250,16007.172852,15903.226562,15637.715820,15378.140625
15702.412109,17872.779297,19118.199219,19783.869141,19786.140625,19644.726562,19320.476562,19019.837891,18599.136719,18170.554688,17754.300781,17340.005859,16935.296875,16535.337891,16095.533203,15549.768555,14885.792969,14112.468750,13474.755859,13100.902344
14797.505859,15622.560547,16215.779297,16598.089844,16713.839844,16654.910156,16445.447266,16166.250000,15832.613281,15506.455078,15214.923828,14971.905273,14789.628906,14674.696289,14614.358398,14574.975586,14511.716797,14397.099609,14277.191406,14211.823242
20022.349609,21878.162109,22655.464844,22893.941406,22584.203125,22367.689453,22118.253906,21987.386719,21726.390625,21402.687500,21023.722656,20557.744141,20005.144531,19352.144531,18572.781250,17649.078125,16664.115234,15693.736328,15015.072266,14682.550781
18091.246094,18430.582031,18640.519531,18707.808594,18601.974609,18381.562500,18101.123047,17834.478516,17610.941406,17468.748047,17400.205078,17414.972656,17502.078125,17655.630859,17840.787109,18017.628906,18133.367188,18167.164062,18154.476562,18153.251953
21687.166016,22838.621094,23230.501953,23293.296875,23049.843750,22966.812500,22924.773438,22994.994141,22970.546875,22873.710938,22705.408203,22432.582031,22052.148438,21551.771484,20922.869141,20172.982422,19396.619141,18673.554688,18201.466797,17989.431641
19736.435547,19733.349609,19759.380859,19755.935547,19711.388672,19599.568359,19470.093750,19349.650391,19281.341797,19277.115234,19327.652344,19439.732422,19601.953125,19809.773438,20040.837891,20272.082031,20463.710938,20600.869141,20680.238281,20732.357422
23097.785156,24067.033203,24394.853516,24449.523438,24252.953125,24217.009766,24248.449219,24412.644531,24526.490234,24600.466797,24620.564453,24551.080078,24379.228516,24088.953125,23660.935547,23093.322266,22463.740234,21845.427734,21422.164062,21214.457031
21148.451172,21099.718750,21128.128906,21159.021484,21182.017578,21156.457031,21136.261719,21140.845703,21213.154297,21354.630859,21547.660156,21793.132812,22074.574219,22385.251953,22698.941406,22989.804688,23217.261719,23368.707031,23441.855469,23472.451172
19846.441406,19489.691406,19270.832031,19092.863281,18960.146484,18838.546875,18819.363281,18935.244141,19230.447266,19684.359375,20233.748047,20867.703125,21539.664062,22226.339844,22866.021484,23411.916016,23807.732422,24048.148438,24149.828125,24172.185547
18914.097656,18487.203125,18180.185547,17943.878906,17801.968750,17763.378906,17903.148438,18241.447266,18784.722656,19488.531250,20269.841797,21101.388672,21924.384766,22707.744141,23382.876953,23906.316406,24244.839844,24416.115234,24463.132812,24442.019531
18864.394531,18594.382812,18352.724609,18198.511719,18176.875000,18372.343750,18797.578125,19439.980469,20235.421875,21116.328125,22003.808594,22851.199219,23603.955078,24231.326172,24682.988281,24939.333984,25022.533203,24985.509766,24903.982422,24808.359375
17661.308594,17243.246094,17033.505859,17017.976562,17241.539062,17676.925781,18329.736328,19138.957031,20067.603516,21032.416016,21970.812500,22837.273438,23588.792969,24203.697266,24655.066406,24939.814453,25085.330078,25138.455078,25126.064453,25057.083984
19574.990234,19944.880859,20257.503906,20662.039062,21192.000000,21957.787109,22868.783203,23853.957031,24788.886719,25605.707031,26289.660156,26785.107422,27081.925781,27173.568359,27075.066406,26811.804688,26471.990234,26127.093750,25855.292969,25644.898438
18790.802734,19092.990234,19778.115234,20688.523438,21793.871094,22869.775391,23884.257812,24724.093750,25427.486328,25955.570312,26357.451172,26616.162109,26763.150391,26823.800781,26855.410156,26884.533203,26925.107422,26969.080078,26946.154297,26845.314453
20156.517578,21126.625000,22374.037109,23711.591797,25049.447266,26187.343750,27112.083984,27767.626953,28218.675781,28478.167969,28625.775391,28658.826172,28628.138672,28570.621094,28543.365234,28547.033203,28553.029297,28516.830078,28384.994141,28194.683594
20761.291016,22049.935547,23684.302734,25359.595703,26931.775391,28112.910156,28929.337891,29354.687500,29526.458984,29500.541016,29389.839844,29214.906250,29047.480469,28939.148438,28953.802734,29072.871094,29212.373047,29278.773438,29182.183594,28991.771484
20838.142578,22240.843750,24021.011719,25803.695312,27415.900391,28527.339844,29199.580078,29434.384766,29415.191406,29223.750000,28982.724609,28726.939453,28533.669922,28459.091797,28561.109375,28803.609375,29063.078125,29216.658203,29157.748047,28980.158203
20921.814453,22368.183594,24112.988281,25800.214844,27253.232422,28193.601562,28702.427734,28817.111328,28717.791016,28496.804688,28261.521484,28047.519531,27921.322266,27932.058594,28116.664062,28421.974609,28709.187500,28853.142578,28773.085938,28584.529297
20497.257812,21749.613281,23260.125000,24706.900391,25932.667969,26703.541016,27109.345703,27198.787109,27135.277344,27000.707031,26876.453125,26792.242188,26797.210938,26929.439453,27206.597656,27569.712891,27883.765625,28036.691406,27968.347656,27796.460938
18980.761719,19713.199219,20720.884766,21726.498047,22620.218750,23200.332031,23559.150391,23730.259766,23848.140625,23958.048828,24098.017578,24283.976562,24536.648438,24876.671875,25300.259766,25753.052734,26122.431641,26326.814453,26320.164062,26202.298828
17668.642578,18056.890625,18706.572266,19398.519531,20062.173828,20543.757812,20927.328125,21232.916016,21556.666016,21911.455078,22300.039062,22722.636719,23177.138672,23669.750000,24180.558594,24660.394531,25022.955078,25217.222656,25220.208984,25117.775391
14804.055664,14574.488281,14627.820312,14810.937500,15114.562500,15426.758789,15823.222656,16295.560547,16895.126953,17584.904297,18317.226562,19072.326172,19815.378906,20532.302734,21182.419922,21727.779297,22119.283203,22348.431641,22410.531250,22363.304688
13405.986328,13122.127930,13155.147461,13365.319336,13754.646484,14204.858398,14773.064453,15425.537109,16196.399414,17030.958984,17879.816406,18714.437500,19499.646484,20221.257812,20846.351562,21347.593750,21695.503906,21894.261719,21938.763672,21873.888672
13426.934570,13485.176758,13793.433594,14262.574219,14886.974609,15582.665039,16364.174805,17182.546875,18038.658203,18879.175781,19677.541016,20398.705078,21023.480469,21546.017578,21955.597656,22238.732422,22392.417969,22430.134766,22361.552734,22222.560547
14261.458984,14778.182617,15502.701172,16361.735352,17325.451172,18303.652344,19269.162109,20156.277344,20956.787109,21634.417969,22208.095703,22646.886719,22962.263672,23165.886719,23283.134766,23317.486328,23282.230469,23184.281250,23025.011719,22828.828125
12959.133789,13324.263672,14148.140625,15197.354492,16417.517578,17536.039062,18555.851562,19381.179688,20087.669922,20646.923828,21106.365234,21453.951172,21719.720703,21930.226562,22132.414062,22333.767578,22513.394531,22641.017578,22635.914062,22515.761719
11430.367188,11668.864258,12411.910156,13407.291992,14605.471680,15712.866211,16740.568359,17587.166016,18335.861328,18951.402344,19474.285156,19891.654297,20228.998047,20510.789062,20780.435547,21044.587891,21279.390625,21454.607422,21481.939453,21378.000000
