Task Name, Workload Size, CPU Shares, Duration
affinity, 10, 1000, 54.00836078325907
affinity, 15, 1000, 82.4799280166626
affinity, 20, 1000, 109.30795820554097
affinity, 25, 1000, 137.0877164999644
affinity, 30, 1000, 162.7371779282888
affinity, 10, 2000, 25.84192156791687
affinity, 15, 2000, 39.3207418123881
affinity, 20, 2000, 52.53423047065735
affinity, 25, 2000, 64.7312867641449
affinity, 30, 2000, 77.84192220369975
affinity, 10, 3000, 20.66535210609436
affinity, 15, 3000, 31.013330856959026
affinity, 20, 3000, 39.917654593785606
affinity, 25, 3000, 50.03259348869324
affinity, 30, 3000, 59.30848447481791
affinity, 10, 4000, 16.839367071787517
affinity, 15, 4000, 26.254968404769897
affinity, 20, 4000, 36.52488525708517
affinity, 25, 4000, 42.55812883377075
affinity, 30, 4000, 54.26942237218221
affinity, 10, 5000, 10.050193071365356
affinity, 15, 5000, 12.071652491887411
affinity, 20, 5000, 21.4452223777771
affinity, 25, 5000, 35.519372860590614
affinity, 30, 5000, 31.623546759287517
affinity, 10, 6000, 9.245502551396688
affinity, 15, 6000, 15.486106872558594
affinity, 20, 6000, 18.09715787569682
affinity, 25, 6000, 18.72756052017212
affinity, 30, 6000, 21.12650140126546
affinity, 10, 7000, 6.988131205240886
affinity, 15, 7000, 10.653554757436117
affinity, 20, 7000, 14.176878293355307
affinity, 25, 7000, 20.507235527038574
affinity, 30, 7000, 26.99917737642924
affinity, 10, 8000, 7.467734734217326
affinity, 15, 8000, 10.564253171284994
affinity, 20, 8000, 14.206487019856771
affinity, 25, 8000, 17.79404338200887
affinity, 30, 8000, 26.24928943316142
atomic, 10, 1000, 110.8478278319041
atomic, 15, 1000, 181.97113275527954
atomic, 20, 1000, 266.9721082051595
atomic, 25, 1000, 368.3391440709432
atomic, 30, 1000, 414.6180792649587
atomic, 10, 2000, 59.941527684529625
atomic, 15, 2000, 93.4764548142751
atomic, 20, 2000, 127.3804217974345
atomic, 25, 2000, 150.2326339085897
atomic, 30, 2000, 183.33254766464233
atomic, 10, 3000, 45.750994284947716
atomic, 15, 3000, 73.16868273417155
atomic, 20, 3000, 94.80926497777303
atomic, 25, 3000, 121.59432752927144
atomic, 30, 3000, 135.8380048274994
atomic, 10, 4000, 34.76995579401652
atomic, 15, 4000, 53.85275133450826
atomic, 20, 4000, 68.76327832539876
atomic, 25, 4000, 84.89706158638
atomic, 30, 4000, 106.74492303530376
atomic, 10, 5000, 24.205151240030926
atomic, 15, 5000, 33.601401487986244
atomic, 20, 5000, 48.364808003107704
atomic, 25, 5000, 66.03104225794475
atomic, 30, 5000, 72.87134544054668
atomic, 10, 6000, 19.9879576365153
atomic, 15, 6000, 33.67441256841024
atomic, 20, 6000, 39.63393648465475
atomic, 25, 6000, 53.85875789324442
atomic, 30, 6000, 66.43515507380168
atomic, 10, 7000, 18.676615953445435
atomic, 15, 7000, 27.301188548405964
atomic, 20, 7000, 36.666409413019814
atomic, 25, 7000, 45.16262443860372
atomic, 30, 7000, 55.98250166575114
atomic, 10, 8000, 15.572792927424112
atomic, 15, 8000, 22.886122862497967
atomic, 20, 8000, 31.53315496444702
atomic, 25, 8000, 39.15916299819946
atomic, 30, 8000, 46.60856652259827
bsearch, 10, 1000, 262.92533651987713
bsearch, 15, 1000, 398.6073358853658
bsearch, 20, 1000, 516.0862096945444
bsearch, 25, 1000, 601.8576335906982
bsearch, 30, 1000, 784.9740147590637
bsearch, 10, 2000, 105.87891991933186
bsearch, 15, 2000, 156.67789204915366
bsearch, 20, 2000, 211.63901432355246
bsearch, 25, 2000, 263.562383890152
bsearch, 30, 2000, 316.2875674565633
bsearch, 10, 3000, 60.53466773033142
bsearch, 15, 3000, 91.44631393750508
bsearch, 20, 3000, 123.69157306353252
bsearch, 25, 3000, 153.9934159119924
bsearch, 30, 3000, 183.8599487145742
bsearch, 10, 4000, 44.85884245236715
bsearch, 15, 4000, 64.6084578037262
bsearch, 20, 4000, 87.02370977401733
bsearch, 25, 4000, 107.40055282910664
bsearch, 30, 4000, 129.18001532554626
bsearch, 10, 5000, 33.39100297292074
bsearch, 15, 5000, 49.09032074610392
bsearch, 20, 5000, 66.88995973269145
bsearch, 25, 5000, 81.74860739707947
bsearch, 30, 5000, 96.32945251464844
bsearch, 10, 6000, 26.760032574335735
bsearch, 15, 6000, 39.07111310958862
bsearch, 20, 6000, 50.667107820510864
bsearch, 25, 6000, 66.03579330444336
bsearch, 30, 6000, 79.49673652648926
bsearch, 10, 7000, 22.157976706822712
bsearch, 15, 7000, 33.16051451365153
bsearch, 20, 7000, 44.291695753733315
bsearch, 25, 7000, 56.74771515528361
bsearch, 30, 7000, 67.64923572540283
bsearch, 10, 8000, 19.443782885869343
bsearch, 15, 8000, 28.392712513605755
bsearch, 20, 8000, 37.51672919591268
bsearch, 25, 8000, 47.30592958132426
bsearch, 30, 8000, 56.64342180887858
cap, 10, 1000, 60.521151065826416
cap, 15, 1000, 92.52455576260884
cap, 20, 1000, 116.77986884117126
cap, 25, 1000, 149.45928510030112
cap, 30, 1000, 182.16935014724731
cap, 10, 2000, 27.142863432566326
cap, 15, 2000, 42.65529489517212
cap, 20, 2000, 53.97465737660726
cap, 25, 2000, 64.91547989845276
cap, 30, 2000, 89.12948107719421
cap, 10, 3000, 16.05010414123535
cap, 15, 3000, 25.88205925623576
cap, 20, 3000, 36.501270612080894
cap, 25, 3000, 41.36918695767721
cap, 30, 3000, 55.776700576146446
cap, 10, 4000, 13.68768040339152
cap, 15, 4000, 25.30768124262492
cap, 20, 4000, 34.34831690788269
cap, 25, 4000, 38.612739404042564
cap, 30, 4000, 47.07524569829305
cap, 10, 5000, 12.957663933436075
cap, 15, 5000, 21.412498076756794
cap, 20, 5000, 28.192487160364788
cap, 25, 5000, 34.638333320617676
cap, 30, 5000, 42.36083404223124
cap, 10, 6000, 10.905826886494955
cap, 15, 6000, 17.019700209299724
cap, 20, 6000, 23.139015674591064
cap, 25, 6000, 28.839624643325806
cap, 30, 6000, 33.91846752166748
cap, 10, 7000, 10.358888149261475
cap, 15, 7000, 14.795817295710245
cap, 20, 7000, 19.93972659111023
cap, 25, 7000, 23.675105730692547
cap, 30, 7000, 28.989347616831463
cap, 10, 8000, 8.641082286834717
cap, 15, 8000, 12.871591091156006
cap, 20, 8000, 17.302926540374756
cap, 25, 8000, 21.381715059280396
cap, 30, 8000, 25.938015302022297
chmod, 10, 1000, 42.4847666422526
chmod, 15, 1000, 66.17528208096822
chmod, 20, 1000, 87.60969217618306
chmod, 25, 1000, 110.91578435897827
chmod, 30, 1000, 133.04175837834677
chmod, 10, 2000, 20.293362458546955
chmod, 15, 2000, 29.439103921254475
chmod, 20, 2000, 41.67261735598246
chmod, 25, 2000, 51.58177590370178
chmod, 30, 2000, 61.50022967656454
chmod, 10, 3000, 14.064087708791098
chmod, 15, 3000, 20.731958707173664
chmod, 20, 3000, 27.6840074857076
chmod, 25, 3000, 33.59779119491577
chmod, 30, 3000, 44.57877747217814
chmod, 10, 4000, 12.72291628519694
chmod, 15, 4000, 19.271661043167114
chmod, 20, 4000, 24.930227359135944
chmod, 25, 4000, 31.671468496322632
chmod, 30, 4000, 37.26576034228007
chmod, 10, 5000, 7.061004877090454
chmod, 15, 5000, 11.116458972295126
chmod, 20, 5000, 14.512796640396118
