predicted_eigen,actual_eigen,predicted_matmul,actual_matmul
14.571991,14.667583,15.770282,17.440935
14.430931,15.769918,16.523106,17.440935
15.279893,16.806320,16.523106,16.058380
15.944099,18.388737,15.784791,16.058380
16.720690,17.140110,15.784791,14.671703
16.130764,13.977336,14.746647,14.815934
13.829477,11.360577,14.868552,15.283654
11.238169,11.179258,15.242201,16.184067
11.052330,12.092033,15.863769,16.130495
11.989035,12.211538,15.830411,16.410715
12.111075,7.575550,15.999932,16.375687
7.740531,6.246566,15.979409,17.241072
6.676039,5.772665,16.433203,16.050137
6.265356,5.634615,15.779523,14.381182
6.138883,5.822115,14.492109,13.159341
6.309809,6.491758,13.315194,12.440248
6.878000,10.120193,12.575121,14.447116
9.988460,16.021292,14.550896,11.774725
15.452976,17.791210,11.885924,9.681318
16.458815,16.563187,9.821353,8.156593
15.799911,15.306319,8.396660,6.984203
14.940484,14.432693,7.275378,6.314560
14.231883,15.316622,6.610689,5.935440
14.948309,15.734891,6.225799,5.925138
15.255161,15.535028,6.215256,6.671017
15.111186,16.097528,6.966925,8.037088
15.503941,17.243134,8.284332,8.995193
16.185795,17.597528,9.179146,10.519918
16.366058,17.222528,10.625051,11.912775
16.174887,15.046704,12.028326,12.893544
14.739120,12.160028,13.043660,13.697116
12.058516,10.629122,13.850938,14.329671
10.493657,11.032968,14.445782,14.543957
10.902866,11.199863,14.636167,14.865385
11.073421,8.508928,14.909640,14.995193
8.508759,7.254121,15.015741,15.046704
7.485355,6.444368,15.057132,14.723215
6.839375,6.077610,14.790534,14.164836
6.533216,5.706731,14.295248,12.656593
6.205401,5.733517,12.799303,12.230083
6.229855,6.364011,12.357014,12.092033
6.773458,7.480769,12.213842,12.940935
7.665018,9.011676,13.092307,9.769918
8.948306,11.028847,9.905042,8.410028
10.898664,12.201237,8.633915,7.023352
12.100568,13.169643,7.313643,6.197115
13.068913,13.888737,6.492110,5.900412
13.748796,14.671703,6.189934,5.758242
14.434369,14.313188,6.043858,6.054945
14.128332,14.259616,6.347778,6.767857
14.081429,14.671703,7.062752,7.264423
14.434369,14.271978,7.547879,8.515110
14.092278,14.183379,8.731994,10.334478
14.014168,13.769231,10.444840,10.334478
13.638821,11.651099,10.444840,11.774725
11.536642,10.247940,11.885924,12.815248
10.113926,10.896978,12.963105,13.573489
10.764440,10.439561,13.729800,13.765110
10.303885,8.379121,13.916957,13.765110
8.398508,6.938874,13.916957,14.558379
7.236057,6.382555,14.648754,14.700550
6.788720,6.137362,14.771270,14.183379
6.584122,5.620193,14.312352,13.925825
6.125455,5.543956,14.071162,13.400413
6.053773,5.912775,13.558040,12.784341
6.390232,6.469093,12.931252,12.784341
6.859549,6.854396,12.931252,10.890797
7.169033,8.405907,10.990320,10.890797
8.421154,10.130495,10.990320,9.879122
9.998542,11.834478,10.008532,8.682006
11.725051,12.392858,8.887537,8.682006
12.295465,12.930632,8.887537,7.194368
12.834438,13.390110,7.480053,7.194368
13.281742,13.157281,7.480053,6.234203
13.056877,13.482830,6.529620,6.234203
13.370162,13.076923,6.529620,6.234203
12.978387,12.646292,6.529620,5.807693
12.551168,12.283654,6.094759,5.807693
12.184536,10.509616,6.094759,5.807693
10.373816,9.625687,6.094759,5.570742
9.512960,9.421703,5.849997,5.570742
9.322037,8.391483,5.849997,5.694368
8.408955,11.410028,5.977968,6.798764
11.288934,6.635989,7.093249,6.798764
6.994586,5.614011,7.093249,10.905220
6.119687,5.638736,11.004658,16.651787
6.142711,5.665522,16.136105,16.651787
6.167514,6.518544,16.136105,16.651787
6.899757,10.237638,16.136105,18.743134
10.103771,16.344780,16.993063,18.743134
15.664362,18.192995,16.993063,17.300825
16.638821,16.447803,16.460632,14.416209
15.729016,14.875688,14.523413,13.748627
14.602142,13.262363,13.900994,14.309067
13.158849,13.800138,14.427155,14.853023
13.667385,14.010303,14.899402,14.801512
13.859306,14.500688,14.856500,15.324863
14.290123,15.007555,15.273484,16.311813
14.708063,16.260303,15.941500,18.225964
15.610388,18.077610,16.828556,17.426512
16.588799,17.379122,16.516790,13.715660
16.256605,13.589973,13.868985,11.729396
13.471478,10.847528,11.839276,10.773352
10.714248,10.029533,10.873938,10.029533
9.900036,9.250687,10.151751,8.393544
9.164500,7.878434,8.618517,7.153159
7.984249,6.860577,7.440063,7.153159
7.173944,5.991072,7.440063,6.242445
6.458641,5.581044,6.537947,5.844780
6.088799,5.436813,6.132872,5.844780
5.950915,5.702610,6.132872,5.552198
6.201628,6.532967,5.830752,5.552198
6.911450,10.377748,5.830752,5.774725
10.242389,14.719094,6.060835,5.774725
14.473767,17.527473,6.060835,6.893544
16.331518,15.242446,7.186522,6.893544
14.891686,15.786402,7.186522,11.080358
15.291480,13.542583,11.179550,11.080358
13.426780,14.280220,11.179550,16.962914
14.099504,14.399726,16.299105,16.962914
14.203471,14.908654,16.299105,16.962914
14.628811,14.780907,16.299105,18.308380
14.524773,16.643543,16.856581,18.308380
15.848344,18.250687,16.856581,17.543957
16.663336,17.799450,16.567419,17.543957
16.462673,14.115385,16.567419,17.543957
13.953683,11.344093,16.567419,15.118819
11.221253,10.676512,15.114387,15.118819
10.541357,9.578297,15.114387,15.118819
9.468317,8.166896,15.114387,14.455358
8.220904,6.901786,14.558204,14.789149
7.206654,5.953983,14.846145,15.399039
6.426352,5.642857,15.329111,15.265110
6.146536,5.506868,15.228034,15.671017
6.018456,5.692307,15.525537,16.851650
6.192177,6.689560,16.242426,18.508244
7.037572,10.517858,16.921631,18.374313
10.382059,15.642171,16.878489,14.793270
15.188974,15.945056,14.849599,12.230083
15.401299,16.439560,12.357014,11.379122
15.723890,15.629808,11.481131,10.431318
15.180069,13.703298,10.538753,8.968407
13.577594,14.354396,9.154200,8.269917
14.164210,14.651099,8.502892,6.370193
14.417162,14.667583,6.666651,5.867445
14.430931,15.576237,6.156135,5.614011
15.141270,16.995880,5.894853,5.770605
16.051689,18.701923,6.056593,11.105083
16.844143,18.071430,11.204357,16.379808
16.586082,14.688188,15.981833,16.379808
14.448101,11.490385,15.981833,16.379808
11.371472,10.501373,15.981833,17.556320
10.365576,9.710165,16.572649,17.556320
9.592960,8.183379,16.572649,17.702610
8.234587,7.074862,16.633062,17.702610
7.343665,6.129121,16.633062,17.702610
6.577127,5.628434,16.633062,15.254808
6.133132,5.475962,15.220141,14.043270
5.988795,5.729396,14.182096,14.770605
6.226101,6.613324,14.830568,15.411402
6.976350,10.437500,15.338297,15.007555
10.301830,16.099588,15.025713,15.928572
15.505309,17.591347,15.700589,16.742447
16.363031,16.796017,16.185061,18.864698
15.938130,15.289836,17.028011,17.846842
14.927937,14.144231,16.690084,14.568682
13.979400,14.750001,14.657730,12.246567
14.499325,14.873627,12.374119,12.246567
14.600471,14.972528,12.374119,12.246567
14.680126,16.010990,12.374119,10.532280
15.446035,16.445744,10.637120,10.532280
15.727737,18.195057,10.637120,9.699863
16.639700,17.469780,9.838852,9.699863
16.302671,14.269918,9.838852,9.699863
14.090471,12.092033,9.838852,9.201237
11.989035,11.121567,9.371220,9.201237
10.993328,10.639423,9.371220,9.201237
10.504018,8.986951,9.371220,7.818682
8.926209,7.375687,8.078102,6.359890
7.581593,6.285714,6.656297,6.359890
6.708666,5.809753,6.656297,5.832417
6.298736,5.607830,6.120173,5.589286
6.113913,5.813874,5.869229,5.589286
6.302430,6.483517,5.869229,5.589286
6.871295,10.101648,5.869229,5.640797
9.970330,16.031593,5.922585,5.640797
15.459904,17.951923,5.922585,5.640797
16.532791,16.365385,5.922585,6.889423
15.677395,15.458792,7.182474,6.889423
15.054987,14.609891,7.182474,6.889423
14.382604,15.683380,7.182474,11.078297
15.218522,16.651787,11.177485,11.078297
15.853268,16.186127,11.177485,11.078297
15.562281,16.571430,11.177485,16.243820
15.804914,17.360577,15.900446,16.243820
16.247070,18.192995,15.900446,16.243820
16.638821,17.692308,15.900446,18.600964
16.411949,15.246567,16.950459,18.600964
14.894848,13.097528,16.950459,17.342033
12.998553,11.282280,16.479275,17.342033
11.157856,10.760989,16.479275,17.342033
10.626618,12.291896,16.479275,15.479396
12.192921,9.201237,15.388381,15.479396
9.119389,7.289148,15.388381,15.479396
7.513062,6.563874,15.388381,14.508929
6.936462,6.116758,14.605474,14.508929
6.566619,5.688187,14.605474,14.508929
6.188392,5.719093,14.605474,15.605083
6.216704,6.310440,15.479010,15.605083
6.729192,7.482830,15.479010,15.559753
7.666657,9.458792,15.446618,15.559753
9.356508,10.849588,15.446618,15.225962
10.716337,12.382555,15.197952,15.225962
12.285018,13.019231,15.197952,15.858517
12.921778,13.680633,15.654030,16.919643
13.556458,13.019231,16.277273,18.980083
12.921778,12.390797,17.059963,18.083792
12.293377,12.786402,16.778505,14.789149
12.691288,12.561813,14.846145,12.716347
12.466233,12.975962,12.861073,12.034341
12.879183,13.052198,12.154077,10.859890
12.954152,12.442308,10.959628,10.247940
12.345561,11.146292,10.361270,8.055632
11.018606,10.421017,8.301784,6.683379
10.285414,10.526099,6.979181,6.017857
10.390306,9.969780,6.309986,5.702610
9.842048,8.253434,5.986479,5.762362
8.292942,7.058379,6.048103,6.815248
7.330634,6.380495,7.109499,10.734203
6.787026,6.071429,10.835291,15.623627
6.527924,5.665522,15.492167,17.733517
6.167514,5.519231,16.645493,16.208792
6.030262,5.916896,15.879013,14.801512
6.393856,6.524725,14.856500,14.399726
6.904771,7.083105,14.508702,14.399726
7.350179,8.393544,14.508702,14.966347
8.410696,10.027473,14.992384,14.966347
9.898032,11.389423,14.992384,15.495880
11.267778,12.221841,15.400412,15.495880
12.121578,13.072803,15.400412,15.495880
12.974351,13.674451,15.400412,15.516484
13.550686,13.639423,15.415389,15.516484
13.517916,13.602336,15.415389,15.516484
13.483107,13.971154,15.415389,15.516484
13.823872,13.070743,15.415389,16.561127
12.972333,12.258928,16.085926,16.561127
12.159366,10.822803,16.085926,16.971153
10.689182,9.872940,16.303230,16.971153
9.748580,9.269231,16.303230,16.971153
9.181469,8.300824,16.303230,17.776787
8.332613,7.015110,16.662699,16.332418
7.296413,6.201236,15.953797,14.426512
6.638052,5.737638,14.532588,12.652473
6.233605,5.504807,12.795042,11.622253
6.016485,5.667583,11.729267,12.907968
6.169416,6.654533,13.058475,11.160715
7.009482,10.359203,11.260275,9.232143
10.223978,14.327610,9.400069,7.896978
14.140909,13.144918,8.152185,6.745193
13.044827,11.344093,7.040360,6.745193
11.221253,10.723902,7.040360,6.114698
10.589153,10.369506,6.408544,6.114698
10.234204,10.445742,6.408544,5.820055
10.310045,11.109203,6.107469,5.820055
10.980693,11.811813,6.107469,5.813874
11.701777,12.666896,6.101114,5.813874
12.571835,13.346841,6.101114,6.831731
13.240253,13.950550,7.125735,6.831731
13.805162,13.822803,7.125735,7.956731
13.688280,11.811813,8.208607,7.956731
11.701777,10.078983,8.208607,8.892170
9.948202,9.706044,9.083214,8.892170
9.589045,8.931319,9.083214,10.583792
8.876675,7.674451,10.687490,10.583792
7.819668,6.844093,10.687490,12.106457
7.160846,6.052885,12.228792,12.106457
6.512014,5.698489,12.228792,12.918270
6.197850,5.554258,13.069054,12.918270
6.063532,5.752060,13.069054,13.620879
6.246706,6.638050,13.776399,14.296703
6.996242,10.534341,14.415950,14.389423
10.398556,15.757556,14.499490,14.956044
15.271183,17.352337,14.984012,14.706731
16.242821,16.126373,14.776531,14.698489
15.523041,16.437500,14.769516,14.486264
15.722609,13.695055,14.585523,13.552885
13.569912,14.519231,13.709481,13.293270
14.305918,14.817995,13.450580,12.887363
14.555171,14.838599,13.037310,12.242445
14.571991,15.693682,12.369842,11.918957
15.225874,16.915524,12.034715,13.390110
16.006592,18.176512,13.547741,9.846154
16.631754,18.162088,9.977247,7.594093
16.625549,15.048764,7.864547,6.811127
14.740748,12.048764,7.105437,6.096154
11.944765,11.150413,6.389701,5.826236
11.022820,10.439561,6.113822,6.242445
10.303885,8.313187,6.537947,7.002748
8.342988,6.934753,7.293513,7.585852
7.232792,6.085852,7.856678,8.974588
6.540264,5.700550,9.159957,10.587913
6.199739,5.533654,10.691525,12.293957
6.043993,5.801511,12.423301,13.355083
6.291339,6.652472,13.512673,14.173078
7.007828,10.587913,14.302855,14.164836
10.452258,16.365385,14.295248,14.449177
15.677395,17.688187,14.552723,14.049451
16.409973,17.253435,14.187891,14.067995
16.191233,15.353709,14.205251,13.773352
14.976373,13.894918,13.924930,12.907968
13.754450,14.646978,13.058475,11.863325
14.413713,14.921017,11.977263,11.747940
14.638781,15.450550,11.858352,11.747940
15.048869,15.936813,11.858352,10.478709
15.395670,17.214287,10.584867,8.692308
16.170507,18.722528,8.897132,7.373627
16.851952,18.265110,7.653226,6.277472
