num_iterations,cpu_shares,duration
5,200,31.0
5,500,17.0
5,800,12.0
5,1100,10.0
5,1400,11.0
5,1700,23.0
10,200,47.0
10,500,21.0
10,800,16.0
10,1100,13.0
10,1400,14.0
10,1700,31.0
15,200,64.0
15,500,29.0
15,800,19.0
15,1100,15.0
15,1400,15.0
15,1700,29.0
20,200,83.0
20,500,33.0
20,800,21.0
20,1100,20.0
20,1400,20.0
20,1700,34.0
5,200,76.0
5,500,30.0
5,800,22.0
5,1100,16.0
5,1400,12.0
5,1700,30.0
10,200,135.0
10,500,51.0
10,800,33.0
10,1100,27.0
10,1400,24.0
10,1700,33.0
15,200,188.0
15,500,71.0
15,800,43.0
15,1100,34.0
15,1400,28.0
15,1700,40.0
20,200,255.0
20,500,95.0
20,800,55.0
20,1100,41.0
20,1400,31.0
20,1700,44.0
